48,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-06-07 02:11:00,1
2019-06-07 02:13:00,1
2019-06-07 02:14:00,5
2019-06-07 02:22:00,2
2019-06-07 02:23:00,1
2019-06-07 02:30:00,2
2019-06-07 02:31:00,3
2019-06-07 02:34:00,3
2019-06-07 02:37:00,4
2019-06-07 02:40:00,1
2019-06-07 02:41:00,2
2019-06-07 02:57:00,2
2019-06-07 02:59:00,2
2019-06-07 03:15:00,2
2019-06-07 03:18:00,3
2019-06-07 03:19:00,3
2019-06-07 03:24:00,2
2019-06-07 03:26:00,3
2019-06-07 03:36:00,1
2019-06-07 03:37:00,1
2019-06-07 03:39:00,2
2019-06-07 03:42:00,2
