3,"SELECT ra, dec, u, g, r, i, z FROM PhotoObjAll WHERE ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-06-07 05:33:00,1
2019-06-07 05:34:00,1
2019-06-07 05:40:00,1
