3,"SELECT DISTINCT p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.mjd FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-07 17:21:00,1
2019-06-07 17:25:00,1
2019-06-07 17:28:00,1
