6334,"select P.objID, P.ra, P.dec , P.u, P.g, P.r, P.i, P.z, P.type from PhotoPrimary as P , dbo.fGetNearbyObjEq(#, #, # ) N where P.objID = N.objID"
2019-06-07 08:48:00,2
2019-06-07 08:49:00,7
2019-06-07 08:50:00,7
2019-06-07 08:51:00,7
2019-06-07 08:52:00,8
2019-06-07 08:53:00,7
2019-06-07 08:54:00,4
2019-06-07 08:55:00,5
2019-06-07 08:56:00,6
2019-06-07 08:57:00,5
2019-06-07 08:58:00,6
2019-06-07 08:59:00,5
2019-06-07 09:00:00,4
2019-06-07 09:01:00,12
2019-06-07 09:02:00,8
2019-06-07 09:03:00,6
2019-06-07 09:04:00,7
2019-06-07 09:05:00,7
2019-06-07 09:06:00,10
2019-06-07 09:07:00,7
2019-06-07 09:08:00,8
2019-06-07 09:09:00,6
2019-06-07 09:10:00,8
2019-06-07 09:11:00,8
2019-06-07 09:12:00,11
2019-06-07 09:13:00,9
2019-06-07 09:14:00,6
2019-06-07 09:15:00,8
2019-06-07 09:16:00,8
2019-06-07 09:17:00,6
2019-06-07 09:18:00,8
2019-06-07 09:19:00,8
2019-06-07 09:20:00,8
2019-06-07 09:21:00,6
2019-06-07 09:22:00,5
2019-06-07 09:23:00,8
2019-06-07 09:24:00,4
2019-06-07 09:25:00,6
2019-06-07 09:26:00,6
2019-06-07 09:27:00,5
2019-06-07 09:28:00,6
2019-06-07 09:29:00,7
2019-06-07 09:30:00,8
2019-06-07 09:31:00,8
2019-06-07 09:32:00,7
2019-06-07 09:33:00,4
2019-06-07 09:34:00,3
2019-06-07 09:35:00,11
2019-06-07 09:36:00,5
2019-06-07 09:37:00,6
2019-06-07 09:38:00,6
2019-06-07 09:39:00,6
2019-06-07 09:40:00,7
2019-06-07 09:41:00,6
2019-06-07 09:42:00,6
2019-06-07 09:43:00,7
2019-06-07 09:44:00,10
2019-06-07 09:45:00,9
2019-06-07 09:46:00,8
2019-06-07 09:47:00,9
2019-06-07 09:48:00,4
2019-06-07 09:49:00,9
2019-06-07 09:50:00,7
2019-06-07 09:51:00,8
2019-06-07 09:52:00,8
2019-06-07 09:53:00,6
2019-06-07 09:54:00,5
2019-06-07 09:55:00,6
2019-06-07 09:56:00,7
2019-06-07 09:57:00,12
2019-06-07 09:58:00,12
2019-06-07 09:59:00,12
2019-06-07 10:00:00,10
2019-06-07 10:01:00,8
2019-06-07 10:02:00,12
2019-06-07 10:03:00,13
2019-06-07 10:04:00,12
2019-06-07 10:05:00,8
2019-06-07 10:06:00,11
2019-06-07 10:07:00,12
2019-06-07 10:08:00,11
2019-06-07 10:09:00,11
2019-06-07 10:10:00,10
2019-06-07 10:11:00,8
2019-06-07 10:12:00,12
2019-06-07 10:13:00,9
2019-06-07 10:14:00,13
2019-06-07 10:15:00,11
2019-06-07 10:16:00,11
2019-06-07 10:17:00,8
2019-06-07 10:18:00,10
2019-06-07 10:19:00,13
2019-06-07 10:20:00,12
2019-06-07 10:21:00,12
2019-06-07 10:22:00,11
2019-06-07 10:23:00,11
2019-06-07 10:24:00,11
2019-06-07 10:25:00,7
2019-06-07 10:26:00,4
2019-06-07 10:27:00,8
2019-06-07 10:28:00,7
2019-06-07 10:29:00,9
2019-06-07 10:30:00,12
2019-06-07 10:31:00,12
2019-06-07 10:32:00,8
2019-06-07 10:33:00,12
2019-06-07 10:34:00,13
2019-06-07 10:35:00,12
2019-06-07 10:36:00,11
2019-06-07 10:37:00,8
2019-06-07 10:38:00,8
2019-06-07 10:39:00,11
2019-06-07 10:40:00,9
2019-06-07 10:41:00,6
2019-06-07 10:42:00,13
2019-06-07 10:43:00,11
2019-06-07 10:44:00,9
2019-06-07 10:45:00,10
2019-06-07 10:46:00,10
2019-06-07 10:47:00,8
2019-06-07 10:48:00,11
2019-06-07 10:49:00,8
2019-06-07 10:50:00,11
2019-06-07 10:51:00,10
2019-06-07 10:52:00,10
2019-06-07 10:53:00,7
2019-06-07 10:54:00,12
2019-06-07 10:55:00,12
2019-06-07 10:56:00,8
2019-06-07 10:57:00,8
2019-06-07 10:58:00,11
2019-06-07 10:59:00,8
2019-06-07 11:00:00,12
2019-06-07 11:01:00,9
2019-06-07 11:02:00,9
2019-06-07 11:03:00,11
2019-06-07 11:04:00,9
2019-06-07 11:05:00,7
2019-06-07 11:06:00,11
2019-06-07 11:07:00,9
2019-06-07 11:08:00,12
2019-06-07 11:09:00,12
2019-06-07 11:10:00,9
2019-06-07 11:11:00,6
2019-06-07 11:12:00,7
2019-06-07 11:13:00,8
2019-06-07 11:14:00,3
2019-06-07 11:15:00,4
2019-06-07 11:16:00,9
2019-06-07 11:17:00,11
2019-06-07 11:18:00,13
2019-06-07 11:19:00,8
2019-06-07 11:20:00,11
2019-06-07 11:21:00,10
2019-06-07 11:22:00,8
2019-06-07 11:23:00,9
2019-06-07 11:24:00,8
2019-06-07 11:25:00,8
2019-06-07 11:26:00,9
2019-06-07 11:27:00,7
2019-06-07 11:28:00,8
2019-06-07 11:29:00,7
2019-06-07 11:30:00,11
2019-06-07 11:31:00,9
2019-06-07 11:32:00,7
2019-06-07 11:33:00,12
2019-06-07 11:34:00,14
2019-06-07 11:35:00,11
2019-06-07 11:36:00,14
2019-06-07 11:37:00,9
2019-06-07 11:38:00,9
2019-06-07 11:39:00,10
2019-06-07 11:40:00,11
2019-06-07 11:41:00,10
2019-06-07 11:42:00,7
2019-06-07 11:43:00,12
2019-06-07 11:44:00,10
2019-06-07 11:45:00,6
2019-06-07 11:46:00,3
2019-06-07 11:47:00,1
2019-06-07 11:48:00,2
2019-06-07 11:49:00,1
2019-06-07 11:50:00,2
2019-06-07 11:51:00,6
2019-06-07 11:52:00,5
2019-06-07 11:53:00,1
2019-06-07 11:54:00,1
2019-06-07 11:55:00,3
2019-06-07 11:56:00,6
2019-06-07 11:57:00,6
2019-06-07 11:58:00,7
2019-06-07 11:59:00,2
2019-06-07 12:00:00,3
2019-06-07 12:01:00,4
2019-06-07 12:02:00,7
2019-06-07 12:03:00,6
2019-06-07 12:04:00,5
2019-06-07 12:05:00,3
2019-06-07 12:06:00,2
2019-06-07 12:07:00,4
2019-06-07 12:08:00,6
2019-06-07 12:09:00,5
2019-06-07 12:10:00,4
2019-06-07 12:11:00,4
2019-06-07 12:12:00,5
2019-06-07 12:13:00,5
2019-06-07 12:14:00,5
2019-06-07 12:15:00,4
2019-06-07 12:16:00,4
2019-06-07 12:17:00,3
2019-06-07 12:18:00,3
2019-06-07 12:19:00,2
2019-06-07 12:20:00,3
2019-06-07 12:21:00,5
