38,"SELECT ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<#"
2019-01-18 08:31:00,2
2019-01-18 08:36:00,1
2019-01-18 08:42:00,1
2019-01-18 08:51:00,2
2019-01-18 08:53:00,1
2019-01-18 08:55:00,2
2019-01-18 08:56:00,1
2019-01-18 09:00:00,1
2019-01-18 09:06:00,1
2019-01-18 09:13:00,1
2019-01-18 09:33:00,5
2019-01-18 10:32:00,1
2019-01-18 10:54:00,1
2019-01-18 10:55:00,1
2019-01-18 10:56:00,2
2019-01-18 15:18:00,2
2019-01-18 15:20:00,1
2019-01-18 15:21:00,1
2019-01-18 15:30:00,1
2019-01-18 20:10:00,2
2019-01-18 20:11:00,8
