2923,"SELECT G.objID as sdss_ID, G.ra as RA, G.dec as DEC, P.z as redshift, p.zErr as redshift_err, G.modelMag_u as MODEL_MAG_U, G.modelMag_g as MODEL_MAG_G, G.modelMag_r as MODEL_MAG_R, G.modelMag_i as MODEL_MAG_I, G.modelMag_z as MODEL_MAG_Z, G.modelMagErr_u as MODEL_MAG_U_err, G.modelMagErr_g as MODEL_MAG_G_err, G.modelMagErr_r as MODEL_MAG_R_err, G.modelMagErr_i as MODEL_MAG_I_err, G.modelMagErr_z as MODEL_MAG_Z_err, P.absMagU, P.absMagG, P.absMagR, P.absMagI, P.absMagZ FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON G.objID = GN.objID JOIN Photoz as P ON P.objID = G.objID"
2019-01-18 19:22:00,35
2019-01-18 19:23:00,47
2019-01-18 19:24:00,40
2019-01-18 19:25:00,42
2019-01-18 19:26:00,41
2019-01-18 19:27:00,39
2019-01-18 19:28:00,39
2019-01-18 19:29:00,37
2019-01-18 19:30:00,35
2019-01-18 19:31:00,34
2019-01-18 19:32:00,31
2019-01-18 19:33:00,31
2019-01-18 19:34:00,29
2019-01-18 19:35:00,25
2019-01-18 19:36:00,26
2019-01-18 19:37:00,26
2019-01-18 19:38:00,26
2019-01-18 19:39:00,24
2019-01-18 19:40:00,24
2019-01-18 19:41:00,24
2019-01-18 19:42:00,23
2019-01-18 19:43:00,22
2019-01-18 19:44:00,21
2019-01-18 19:45:00,21
2019-01-18 19:46:00,23
2019-01-18 19:47:00,24
2019-01-18 19:48:00,26
2019-01-18 19:49:00,23
2019-01-18 19:50:00,24
2019-01-18 19:51:00,23
2019-01-18 19:52:00,22
2019-01-18 19:53:00,23
2019-01-18 19:54:00,24
2019-01-18 19:55:00,22
2019-01-18 19:56:00,22
2019-01-18 19:57:00,21
2019-01-18 19:58:00,22
2019-01-18 19:59:00,21
2019-01-18 20:00:00,21
2019-01-18 20:01:00,22
2019-01-18 20:02:00,21
2019-01-18 20:03:00,21
2019-01-18 20:04:00,22
2019-01-18 20:05:00,21
2019-01-18 20:06:00,20
2019-01-18 20:07:00,21
2019-01-18 20:08:00,19
2019-01-18 20:09:00,17
2019-01-18 20:10:00,18
2019-01-18 20:11:00,19
2019-01-18 20:12:00,19
2019-01-18 20:13:00,19
2019-01-18 20:14:00,19
2019-01-18 20:15:00,18
2019-01-18 20:16:00,19
2019-01-18 20:17:00,18
2019-01-18 20:18:00,18
2019-01-18 20:19:00,19
2019-01-18 20:20:00,18
2019-01-18 20:21:00,17
2019-01-18 20:22:00,18
2019-01-18 20:23:00,18
2019-01-18 20:24:00,17
2019-01-18 20:25:00,17
2019-01-18 20:26:00,17
2019-01-18 20:27:00,17
2019-01-18 20:28:00,17
2019-01-18 20:29:00,16
2019-01-18 20:30:00,17
2019-01-18 20:31:00,17
2019-01-18 20:32:00,16
2019-01-18 20:33:00,16
2019-01-18 20:34:00,17
2019-01-18 20:35:00,16
2019-01-18 20:36:00,16
2019-01-18 20:37:00,16
2019-01-18 20:38:00,16
2019-01-18 20:39:00,15
2019-01-18 20:40:00,15
2019-01-18 20:41:00,14
2019-01-18 20:42:00,15
2019-01-18 20:43:00,15
2019-01-18 20:44:00,14
2019-01-18 20:45:00,15
2019-01-18 20:46:00,14
2019-01-18 20:47:00,15
2019-01-18 20:48:00,14
2019-01-18 20:49:00,12
2019-01-18 21:38:00,8
2019-01-18 21:39:00,50
2019-01-18 21:40:00,48
2019-01-18 21:41:00,46
2019-01-18 21:42:00,42
2019-01-18 21:43:00,40
2019-01-18 21:44:00,36
2019-01-18 21:45:00,33
2019-01-18 21:46:00,34
2019-01-18 21:47:00,32
2019-01-18 21:48:00,30
2019-01-18 21:49:00,29
2019-01-18 21:50:00,28
2019-01-18 21:51:00,29
2019-01-18 21:52:00,26
2019-01-18 21:53:00,26
2019-01-18 21:54:00,25
2019-01-18 21:55:00,26
2019-01-18 21:56:00,25
2019-01-18 21:57:00,29
2019-01-18 21:58:00,29
2019-01-18 21:59:00,30
2019-01-18 22:00:00,30
2019-01-18 22:01:00,27
2019-01-18 22:02:00,27
2019-01-18 22:03:00,28
2019-01-18 22:04:00,26
2019-01-18 22:05:00,25
2019-01-18 22:06:00,25
2019-01-18 22:07:00,25
2019-01-18 22:08:00,17
2019-01-18 22:09:00,25
2019-01-18 22:10:00,23
2019-01-18 22:11:00,14
