4,"SELECT TOP # p.ra,p.dec,str(p.ra,#,#) as ra,str(p.[dec],#,#) as dec,p.objID FROM BESTDR7..PhotoObj AS p 	JOIN #x AS x ON x.objID=p.objID JOIN #upload AS u ON u.up_id = x.up_id  WHERE  ( p.type = # OR p.type = #) ORDER BY x.up_id"
2019-01-18 23:38:00,2
2019-01-18 23:39:00,1
2019-01-18 23:40:00,1
