1030,"select name, type from DBObjects where type=&&& and name NOT IN (&&&, &&&) order by name"
2019-03-10 00:05:00,3
2019-03-10 00:09:00,2
2019-03-10 00:21:00,2
2019-03-10 00:22:00,1
2019-03-10 00:23:00,2
2019-03-10 00:29:00,2
2019-03-10 00:30:00,2
2019-03-10 00:39:00,2
2019-03-10 00:52:00,2
2019-03-10 00:53:00,2
2019-03-10 00:57:00,2
2019-03-10 01:13:00,2
2019-03-10 01:18:00,2
2019-03-10 01:26:00,2
2019-03-10 01:27:00,2
2019-03-10 01:30:00,2
2019-03-10 01:34:00,2
2019-03-10 01:49:00,2
2019-03-10 02:03:00,6
2019-03-10 02:11:00,2
2019-03-10 02:34:00,2
2019-03-10 02:47:00,4
2019-03-10 02:48:00,2
2019-03-10 02:54:00,2
2019-03-10 03:00:00,2
2019-03-10 03:04:00,2
2019-03-10 03:15:00,2
2019-03-10 03:17:00,2
2019-03-10 03:24:00,4
2019-03-10 03:27:00,2
2019-03-10 03:31:00,2
2019-03-10 03:41:00,2
2019-03-10 03:54:00,2
2019-03-10 03:56:00,2
2019-03-10 04:00:00,2
2019-03-10 04:19:00,4
2019-03-10 04:20:00,10
2019-03-10 04:21:00,8
2019-03-10 04:22:00,10
2019-03-10 04:23:00,8
2019-03-10 04:24:00,4
2019-03-10 04:26:00,8
2019-03-10 04:27:00,10
2019-03-10 04:28:00,8
2019-03-10 04:29:00,6
2019-03-10 04:30:00,8
2019-03-10 04:31:00,10
2019-03-10 04:32:00,8
2019-03-10 04:33:00,10
2019-03-10 04:34:00,10
2019-03-10 04:35:00,8
2019-03-10 04:36:00,10
2019-03-10 04:37:00,10
2019-03-10 04:38:00,8
2019-03-10 04:39:00,10
2019-03-10 04:40:00,10
2019-03-10 04:41:00,10
2019-03-10 04:42:00,8
2019-03-10 04:43:00,12
2019-03-10 04:44:00,8
2019-03-10 04:45:00,10
2019-03-10 04:46:00,12
2019-03-10 04:47:00,8
2019-03-10 04:48:00,10
2019-03-10 04:49:00,10
2019-03-10 04:50:00,4
2019-03-10 04:58:00,2
2019-03-10 05:00:00,4
2019-03-10 05:12:00,2
2019-03-10 05:26:00,4
2019-03-10 05:34:00,2
2019-03-10 05:43:00,2
2019-03-10 05:47:00,2
2019-03-10 05:59:00,4
2019-03-10 06:02:00,2
2019-03-10 06:04:00,2
2019-03-10 06:24:00,2
2019-03-10 06:30:00,2
2019-03-10 06:34:00,2
2019-03-10 06:44:00,2
2019-03-10 06:53:00,2
2019-03-10 06:54:00,8
2019-03-10 06:55:00,2
2019-03-10 07:08:00,2
2019-03-10 07:19:00,2
2019-03-10 07:32:00,2
2019-03-10 07:45:00,2
2019-03-10 08:12:00,2
2019-03-10 08:14:00,4
2019-03-10 08:16:00,2
2019-03-10 08:19:00,4
2019-03-10 08:27:00,6
2019-03-10 08:28:00,24
2019-03-10 08:29:00,30
2019-03-10 08:30:00,24
2019-03-10 08:31:00,30
2019-03-10 08:32:00,34
2019-03-10 08:33:00,32
2019-03-10 08:34:00,34
2019-03-10 08:35:00,26
2019-03-10 08:36:00,2
2019-03-10 08:50:00,2
2019-03-10 09:19:00,2
2019-03-10 09:24:00,2
2019-03-10 09:30:00,2
2019-03-10 09:45:00,2
2019-03-10 10:12:00,2
2019-03-10 10:24:00,4
2019-03-10 10:26:00,2
2019-03-10 10:30:00,2
2019-03-10 10:36:00,2
2019-03-10 10:44:00,2
2019-03-10 10:45:00,4
2019-03-10 10:56:00,2
2019-03-10 11:03:00,12
2019-03-10 11:04:00,24
2019-03-10 11:05:00,34
2019-03-10 11:06:00,22
2019-03-10 11:08:00,2
2019-03-10 11:10:00,4
2019-03-10 11:23:00,1
2019-03-10 11:43:00,2
2019-03-10 11:51:00,2
2019-03-10 12:10:00,2
2019-03-10 12:11:00,4
2019-03-10 12:16:00,2
2019-03-10 12:18:00,2
2019-03-10 12:32:00,4
2019-03-10 12:38:00,2
2019-03-10 12:45:00,2
2019-03-10 12:59:00,2
2019-03-10 13:04:00,2
2019-03-10 13:27:00,6
2019-03-10 13:53:00,2
2019-03-10 13:55:00,4
2019-03-10 13:56:00,2
2019-03-10 13:58:00,2
2019-03-10 14:05:00,4
2019-03-10 14:06:00,6
2019-03-10 14:08:00,2
2019-03-10 14:09:00,2
2019-03-10 14:17:00,2
2019-03-10 14:18:00,2
2019-03-10 14:20:00,2
2019-03-10 14:25:00,2
2019-03-10 14:26:00,2
2019-03-10 14:33:00,2
2019-03-10 14:38:00,1
2019-03-10 15:03:00,2
2019-03-10 15:07:00,2
2019-03-10 15:09:00,2
2019-03-10 15:18:00,2
2019-03-10 15:23:00,2
2019-03-10 15:26:00,2
2019-03-10 15:29:00,2
