165,"SELECT TOP # s.plate,s.mjd,s.fiberid,s.elodieSpType FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid=p.objid WHERE s.class=&&& AND s.elodieSpType!=&&&"
2019-03-10 10:30:00,1
2019-03-10 15:53:00,1
2019-03-10 18:28:00,1
2019-03-10 19:24:00,1
2019-03-10 19:25:00,1
2019-03-10 19:26:00,4
2019-03-10 19:27:00,4
2019-03-10 19:28:00,4
2019-03-10 19:29:00,4
2019-03-10 19:30:00,4
2019-03-10 19:31:00,5
2019-03-10 19:32:00,5
2019-03-10 19:33:00,6
2019-03-10 19:34:00,4
2019-03-10 19:35:00,4
2019-03-10 19:36:00,4
2019-03-10 19:37:00,4
2019-03-10 19:38:00,4
2019-03-10 19:39:00,4
2019-03-10 19:40:00,4
2019-03-10 19:41:00,5
2019-03-10 19:42:00,4
2019-03-10 19:43:00,5
2019-03-10 19:44:00,4
2019-03-10 19:45:00,5
2019-03-10 19:46:00,5
2019-03-10 19:47:00,4
2019-03-10 19:48:00,4
2019-03-10 19:49:00,4
2019-03-10 19:50:00,4
2019-03-10 19:51:00,5
2019-03-10 19:52:00,8
2019-03-10 19:53:00,1
2019-03-10 19:54:00,7
2019-03-10 19:55:00,4
2019-03-10 19:56:00,5
2019-03-10 19:57:00,5
2019-03-10 19:58:00,3
2019-03-10 20:36:00,1
2019-03-10 20:37:00,1
2019-03-10 20:38:00,1
2019-03-10 20:44:00,1
2019-03-10 20:49:00,1
2019-03-10 21:11:00,1
2019-03-10 21:13:00,1
2019-03-10 21:18:00,1
2019-03-10 21:31:00,1
2019-03-10 21:35:00,1
2019-03-10 21:53:00,1
2019-03-10 21:54:00,1
2019-03-10 22:01:00,1
2019-03-10 22:03:00,1
