266,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between .# and #
2019-03-10 00:01:00,1
2019-03-10 00:06:00,1
2019-03-10 00:16:00,1
2019-03-10 00:23:00,1
2019-03-10 00:24:00,1
2019-03-10 00:36:00,1
2019-03-10 00:38:00,1
2019-03-10 00:44:00,1
2019-03-10 00:53:00,1
2019-03-10 00:57:00,1
2019-03-10 01:01:00,1
2019-03-10 01:11:00,1
2019-03-10 01:22:00,2
2019-03-10 01:35:00,1
2019-03-10 01:43:00,1
2019-03-10 01:49:00,13
2019-03-10 02:07:00,1
2019-03-10 02:08:00,1
2019-03-10 02:09:00,1
2019-03-10 02:19:00,1
2019-03-10 02:24:00,1
2019-03-10 02:27:00,1
2019-03-10 02:29:00,1
2019-03-10 02:37:00,1
2019-03-10 02:47:00,1
2019-03-10 02:48:00,1
2019-03-10 02:54:00,1
2019-03-10 02:57:00,1
2019-03-10 03:06:00,1
2019-03-10 03:08:00,1
2019-03-10 03:13:00,1
2019-03-10 03:18:00,1
2019-03-10 03:22:00,1
2019-03-10 03:29:00,1
2019-03-10 03:33:00,1
2019-03-10 03:35:00,1
2019-03-10 03:48:00,1
2019-03-10 03:49:00,1
2019-03-10 03:52:00,1
2019-03-10 03:53:00,1
2019-03-10 04:04:00,1
2019-03-10 04:09:00,1
2019-03-10 04:12:00,1
2019-03-10 04:20:00,1
2019-03-10 04:25:00,1
2019-03-10 04:27:00,1
2019-03-10 04:38:00,1
2019-03-10 04:43:00,1
2019-03-10 04:51:00,4
2019-03-10 05:12:00,2
2019-03-10 05:16:00,1
2019-03-10 05:25:00,1
2019-03-10 05:33:00,1
2019-03-10 05:38:00,2
2019-03-10 05:51:00,1
2019-03-10 05:56:00,1
2019-03-10 05:59:00,1
2019-03-10 06:09:00,1
2019-03-10 06:12:00,1
2019-03-10 06:16:00,1
2019-03-10 06:20:00,1
2019-03-10 06:30:00,1
2019-03-10 06:41:00,2
2019-03-10 06:45:00,1
2019-03-10 06:51:00,1
2019-03-10 07:05:00,1
2019-03-10 07:06:00,1
2019-03-10 07:11:00,1
2019-03-10 07:17:00,1
2019-03-10 07:29:00,1
2019-03-10 07:32:00,1
2019-03-10 07:42:00,1
2019-03-10 07:46:00,1
2019-03-10 07:55:00,1
2019-03-10 07:57:00,1
2019-03-10 08:08:00,1
2019-03-10 08:12:00,1
2019-03-10 08:21:00,1
2019-03-10 08:31:00,1
2019-03-10 08:33:00,1
2019-03-10 08:42:00,1
2019-03-10 08:44:00,1
2019-03-10 08:57:00,1
2019-03-10 08:59:00,1
2019-03-10 09:10:00,1
2019-03-10 09:12:00,1
2019-03-10 09:21:00,1
2019-03-10 09:26:00,1
2019-03-10 09:36:00,1
2019-03-10 09:43:00,1
2019-03-10 09:53:00,1
2019-03-10 09:56:00,1
2019-03-10 10:12:00,6
