9,"SELECT P.ra, P.dec, P.g, P.r FROM Star as P WHERE P.ra between # and #  and P.dec between # and #  and P.g between # and #  and P.g-P.r between # and #"
2019-04-08 20:46:00,1
2019-04-08 20:47:00,1
2019-04-08 20:59:00,1
2019-04-08 21:00:00,1
2019-04-08 21:05:00,1
2019-04-08 21:09:00,2
2019-04-08 21:10:00,1
2019-04-08 21:15:00,1
