29,"select p.objid as name, p.ra, p.dec from star p where (p.r BETWEEN # AND #) and (p.r-p.i BETWEEN # AND #)"
2019-04-08 01:26:00,1
2019-04-08 01:34:00,1
2019-04-08 01:41:00,1
2019-04-08 02:02:00,1
2019-04-08 02:05:00,1
2019-04-08 02:13:00,1
2019-04-08 02:17:00,1
2019-04-08 02:22:00,1
2019-04-08 02:25:00,1
2019-04-08 02:27:00,1
2019-04-08 02:30:00,1
2019-04-08 02:33:00,1
2019-04-08 02:36:00,1
2019-04-08 02:39:00,1
2019-04-08 02:41:00,1
2019-04-08 02:43:00,1
2019-04-08 02:47:00,1
2019-04-08 02:50:00,1
2019-04-08 04:24:00,1
2019-04-08 04:32:00,1
2019-04-08 04:36:00,1
2019-04-08 04:42:00,1
2019-04-08 04:45:00,1
2019-04-08 04:56:00,1
2019-04-08 04:57:00,1
2019-04-08 04:59:00,1
2019-04-08 05:01:00,1
2019-04-08 05:03:00,1
2019-04-08 14:47:00,1
