1233,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-08 12:34:00,14
2019-04-08 12:35:00,2
2019-04-08 12:36:00,8
2019-04-08 12:43:00,15
2019-04-08 12:44:00,33
2019-04-08 12:47:00,27
2019-04-08 12:55:00,17
2019-04-08 12:56:00,93
2019-04-08 13:01:00,10
2019-04-08 13:03:00,7
2019-04-08 13:04:00,36
2019-04-08 13:10:00,21
2019-04-08 13:11:00,41
2019-04-08 13:16:00,22
2019-04-08 13:17:00,160
2019-04-08 13:19:00,40
2019-04-08 13:24:00,8
2019-04-08 13:29:00,82
2019-04-08 13:33:00,14
2019-04-08 13:34:00,14
2019-04-08 13:35:00,21
2019-04-08 13:52:00,191
2019-04-08 13:53:00,95
2019-04-08 14:02:00,30
2019-04-08 14:09:00,14
2019-04-08 14:10:00,38
2019-04-08 14:11:00,40
2019-04-08 14:15:00,28
2019-04-08 14:18:00,15
2019-04-08 14:19:00,19
2019-04-08 14:20:00,30
2019-04-08 14:26:00,18
2019-04-08 14:27:00,3
2019-04-08 14:28:00,5
2019-04-08 14:32:00,22
