27,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-04-08 01:11:00,1
2019-04-08 02:00:00,1
2019-04-08 02:01:00,1
2019-04-08 02:02:00,1
2019-04-08 02:04:00,1
2019-04-08 02:06:00,1
2019-04-08 05:19:00,1
2019-04-08 05:20:00,1
2019-04-08 05:22:00,1
2019-04-08 13:49:00,1
2019-04-08 13:50:00,1
2019-04-08 14:27:00,1
2019-04-08 14:47:00,1
2019-04-08 15:02:00,1
2019-04-08 15:04:00,1
2019-04-08 15:19:00,1
2019-04-08 15:30:00,1
2019-04-08 15:40:00,2
2019-04-08 15:52:00,1
2019-04-08 15:53:00,2
2019-04-08 15:55:00,1
2019-04-08 15:57:00,2
2019-04-08 15:58:00,2
