1483,"select PhotoObjAll.mjd, ra, dec, u, g, r, i, z, TAI_u, TAI_g, TAI_r, TAI_i, TAI_z from PhotoObjAll where dec < # AND dec > # AND (ra > # AND ra < # )"
2019-11-21 03:06:00,4
2019-11-21 03:14:00,1
2019-11-21 03:19:00,1
2019-11-21 03:21:00,24
2019-11-21 03:25:00,6
2019-11-21 03:26:00,27
2019-11-21 03:28:00,10
2019-11-21 03:30:00,5
2019-11-21 03:31:00,6
2019-11-21 03:32:00,2
2019-11-21 03:33:00,31
2019-11-21 03:34:00,18
2019-11-21 03:35:00,20
2019-11-21 03:36:00,17
2019-11-21 03:37:00,9
2019-11-21 03:38:00,3
2019-11-21 03:39:00,28
2019-11-21 03:41:00,22
2019-11-21 03:42:00,40
2019-11-21 03:43:00,7
2019-11-21 03:45:00,28
2019-11-21 03:46:00,44
2019-11-21 03:48:00,2
2019-11-21 03:56:00,7
2019-11-21 03:59:00,2
2019-11-21 04:00:00,6
2019-11-21 04:01:00,11
2019-11-21 04:02:00,6
2019-11-21 04:04:00,1
2019-11-21 04:05:00,1
2019-11-21 04:14:00,8
2019-11-21 04:16:00,7
2019-11-21 04:17:00,6
2019-11-21 04:19:00,3
2019-11-21 04:20:00,5
2019-11-21 04:21:00,16
2019-11-21 04:23:00,3
2019-11-21 04:25:00,2
2019-11-21 04:29:00,1
2019-11-21 04:31:00,1
2019-11-21 04:32:00,2
2019-11-21 04:33:00,9
2019-11-21 04:34:00,14
2019-11-21 04:35:00,14
2019-11-21 04:36:00,15
2019-11-21 04:37:00,14
2019-11-21 04:38:00,14
2019-11-21 04:39:00,13
2019-11-21 04:40:00,14
2019-11-21 04:41:00,11
2019-11-21 04:42:00,14
2019-11-21 04:43:00,13
2019-11-21 04:44:00,11
2019-11-21 04:45:00,11
2019-11-21 04:46:00,11
2019-11-21 04:47:00,11
2019-11-21 04:48:00,11
2019-11-21 04:49:00,14
2019-11-21 04:50:00,13
2019-11-21 04:51:00,12
2019-11-21 04:52:00,9
2019-11-21 04:53:00,14
2019-11-21 04:54:00,14
2019-11-21 04:55:00,12
2019-11-21 04:56:00,10
2019-11-21 04:57:00,27
2019-11-21 04:58:00,29
2019-11-21 04:59:00,2
2019-11-21 05:00:00,3
2019-11-21 05:01:00,3
2019-11-21 05:02:00,4
2019-11-21 05:03:00,3
2019-11-21 05:04:00,4
2019-11-21 05:05:00,3
2019-11-21 05:06:00,4
2019-11-21 05:07:00,3
2019-11-21 05:08:00,4
2019-11-21 05:09:00,3
2019-11-21 05:10:00,4
2019-11-21 05:11:00,4
2019-11-21 05:12:00,4
2019-11-21 05:13:00,4
2019-11-21 05:14:00,4
2019-11-21 05:15:00,4
2019-11-21 05:16:00,3
2019-11-21 05:17:00,3
2019-11-21 05:18:00,2
2019-11-21 05:19:00,3
2019-11-21 05:20:00,2
2019-11-21 07:05:00,3
2019-11-21 07:07:00,1
2019-11-21 07:08:00,12
2019-11-21 07:09:00,12
2019-11-21 07:10:00,13
2019-11-21 07:11:00,11
2019-11-21 07:12:00,14
2019-11-21 07:13:00,13
2019-11-21 07:14:00,12
2019-11-21 07:15:00,12
2019-11-21 07:16:00,11
2019-11-21 07:17:00,12
2019-11-21 07:18:00,11
2019-11-21 07:19:00,10
2019-11-21 07:20:00,10
2019-11-21 07:21:00,9
2019-11-21 07:22:00,2
2019-11-21 08:39:00,58
2019-11-21 08:40:00,75
2019-11-21 08:41:00,5
2019-11-21 08:53:00,1
2019-11-21 08:54:00,5
2019-11-21 08:55:00,4
2019-11-21 08:57:00,2
2019-11-21 08:58:00,6
2019-11-21 08:59:00,10
2019-11-21 09:00:00,9
2019-11-21 09:01:00,10
2019-11-21 09:02:00,9
2019-11-21 09:03:00,9
2019-11-21 09:04:00,8
2019-11-21 09:05:00,8
2019-11-21 09:06:00,8
2019-11-21 09:07:00,8
2019-11-21 09:08:00,9
2019-11-21 09:09:00,11
2019-11-21 09:10:00,7
2019-11-21 09:11:00,7
2019-11-21 09:12:00,8
2019-11-21 09:13:00,8
2019-11-21 09:14:00,8
2019-11-21 09:15:00,8
2019-11-21 09:16:00,9
2019-11-21 09:17:00,10
2019-11-21 09:18:00,8
2019-11-21 09:19:00,7
2019-11-21 09:20:00,8
2019-11-21 09:21:00,9
2019-11-21 09:22:00,8
2019-11-21 09:23:00,7
2019-11-21 09:24:00,10
2019-11-21 09:25:00,9
2019-11-21 09:26:00,11
2019-11-21 09:27:00,11
2019-11-21 09:28:00,10
2019-11-21 09:29:00,11
2019-11-21 09:30:00,11
2019-11-21 09:31:00,5
