14920,SELECT TOP # p.dr8objid FROM PhotoObjDR7 AS p WHERE p.dr7objid = #
2019-11-21 00:00:00,80
2019-11-21 00:01:00,81
2019-11-21 00:02:00,85
2019-11-21 00:03:00,79
2019-11-21 00:04:00,79
2019-11-21 00:05:00,79
2019-11-21 00:06:00,76
2019-11-21 00:07:00,74
2019-11-21 00:08:00,74
2019-11-21 00:09:00,80
2019-11-21 00:10:00,73
2019-11-21 00:11:00,77
2019-11-21 00:12:00,79
2019-11-21 00:13:00,78
2019-11-21 00:14:00,76
2019-11-21 00:15:00,75
2019-11-21 00:16:00,73
2019-11-21 00:17:00,77
2019-11-21 00:18:00,76
2019-11-21 00:19:00,80
2019-11-21 00:20:00,78
2019-11-21 00:21:00,78
2019-11-21 00:22:00,79
2019-11-21 00:23:00,71
2019-11-21 00:24:00,75
2019-11-21 00:25:00,68
2019-11-21 00:26:00,74
2019-11-21 00:27:00,71
2019-11-21 00:28:00,71
2019-11-21 00:29:00,69
2019-11-21 00:30:00,67
2019-11-21 00:31:00,65
2019-11-21 00:32:00,68
2019-11-21 00:33:00,71
2019-11-21 00:34:00,73
2019-11-21 00:35:00,70
2019-11-21 00:36:00,72
2019-11-21 00:37:00,71
2019-11-21 00:38:00,68
2019-11-21 00:39:00,70
2019-11-21 00:40:00,75
2019-11-21 00:41:00,73
2019-11-21 00:42:00,73
2019-11-21 00:43:00,72
2019-11-21 00:44:00,75
2019-11-21 00:45:00,71
2019-11-21 00:46:00,72
2019-11-21 00:47:00,69
2019-11-21 00:48:00,70
2019-11-21 00:49:00,35
2019-11-21 21:48:00,41
2019-11-21 21:49:00,103
2019-11-21 21:50:00,98
2019-11-21 21:51:00,102
2019-11-21 21:52:00,93
2019-11-21 21:53:00,101
2019-11-21 21:54:00,95
2019-11-21 21:55:00,102
2019-11-21 21:56:00,103
2019-11-21 21:57:00,99
2019-11-21 21:58:00,96
2019-11-21 21:59:00,97
2019-11-21 22:00:00,93
2019-11-21 22:01:00,88
2019-11-21 22:02:00,88
2019-11-21 22:03:00,91
2019-11-21 22:04:00,90
2019-11-21 22:05:00,96
2019-11-21 22:06:00,92
2019-11-21 22:07:00,91
2019-11-21 22:08:00,85
2019-11-21 22:09:00,89
2019-11-21 22:10:00,91
2019-11-21 22:11:00,90
2019-11-21 22:12:00,88
2019-11-21 22:13:00,88
2019-11-21 22:14:00,91
2019-11-21 22:15:00,88
2019-11-21 22:16:00,96
2019-11-21 22:17:00,91
2019-11-21 22:18:00,73
2019-11-21 22:19:00,85
2019-11-21 22:20:00,83
2019-11-21 22:21:00,89
2019-11-21 22:22:00,91
2019-11-21 22:23:00,89
2019-11-21 22:24:00,86
2019-11-21 22:25:00,87
2019-11-21 22:26:00,88
2019-11-21 22:27:00,92
2019-11-21 22:28:00,92
2019-11-21 22:29:00,82
2019-11-21 22:30:00,83
2019-11-21 22:31:00,91
2019-11-21 22:32:00,89
2019-11-21 22:33:00,90
2019-11-21 22:34:00,89
2019-11-21 22:35:00,90
2019-11-21 22:36:00,89
2019-11-21 22:37:00,89
2019-11-21 22:38:00,88
2019-11-21 22:39:00,88
2019-11-21 22:40:00,88
2019-11-21 22:41:00,87
2019-11-21 22:42:00,91
2019-11-21 22:43:00,86
2019-11-21 22:44:00,86
2019-11-21 22:45:00,87
2019-11-21 22:46:00,87
2019-11-21 22:47:00,88
2019-11-21 22:48:00,87
2019-11-21 22:49:00,85
2019-11-21 22:50:00,84
2019-11-21 22:51:00,85
2019-11-21 22:52:00,86
2019-11-21 22:53:00,86
2019-11-21 22:54:00,80
2019-11-21 22:55:00,78
2019-11-21 22:56:00,77
2019-11-21 22:57:00,70
2019-11-21 22:58:00,86
2019-11-21 22:59:00,86
2019-11-21 23:00:00,84
2019-11-21 23:01:00,83
2019-11-21 23:02:00,83
2019-11-21 23:03:00,82
2019-11-21 23:04:00,83
2019-11-21 23:05:00,84
2019-11-21 23:06:00,84
2019-11-21 23:07:00,79
2019-11-21 23:08:00,79
2019-11-21 23:09:00,80
2019-11-21 23:10:00,81
2019-11-21 23:11:00,81
2019-11-21 23:12:00,80
2019-11-21 23:13:00,83
2019-11-21 23:14:00,75
2019-11-21 23:15:00,80
2019-11-21 23:16:00,78
2019-11-21 23:17:00,79
2019-11-21 23:18:00,74
2019-11-21 23:19:00,77
2019-11-21 23:20:00,81
2019-11-21 23:21:00,78
2019-11-21 23:22:00,78
2019-11-21 23:23:00,77
2019-11-21 23:24:00,74
2019-11-21 23:25:00,75
2019-11-21 23:26:00,78
2019-11-21 23:27:00,78
2019-11-21 23:28:00,75
2019-11-21 23:29:00,76
2019-11-21 23:30:00,78
2019-11-21 23:31:00,79
2019-11-21 23:32:00,79
2019-11-21 23:33:00,82
2019-11-21 23:34:00,85
2019-11-21 23:35:00,88
2019-11-21 23:36:00,88
2019-11-21 23:37:00,86
2019-11-21 23:38:00,85
2019-11-21 23:39:00,88
2019-11-21 23:40:00,83
2019-11-21 23:41:00,85
2019-11-21 23:42:00,85
2019-11-21 23:43:00,79
2019-11-21 23:44:00,84
2019-11-21 23:45:00,83
2019-11-21 23:46:00,85
2019-11-21 23:47:00,84
2019-11-21 23:48:00,84
2019-11-21 23:49:00,83
2019-11-21 23:50:00,81
2019-11-21 23:51:00,84
2019-11-21 23:52:00,82
2019-11-21 23:53:00,85
2019-11-21 23:54:00,87
2019-11-21 23:55:00,83
2019-11-21 23:56:00,84
2019-11-21 23:57:00,83
2019-11-21 23:58:00,82
2019-11-21 23:59:00,83
