16,"SELECT TOP #  s.plate,s.mjd,s.fiberid,p.run,p.rerun,p.camCol,p.field,p.obj  FROM ..SpecObj as s  JOIN ..PhotoObj AS p ON s.bestObjID = p.objID  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON s.bestobjid = b.objID  WHERE s.zWarning = # AND ( p.type = # OR p.type = #)"
2019-11-21 18:25:00,4
2019-11-21 18:37:00,1
2019-11-21 18:40:00,1
2019-11-21 19:36:00,1
2019-11-21 19:40:00,1
2019-11-21 19:44:00,1
2019-11-21 19:45:00,1
2019-11-21 19:48:00,1
2019-11-21 19:49:00,1
2019-11-21 19:50:00,1
2019-11-21 19:52:00,1
2019-11-21 19:53:00,1
2019-11-21 19:57:00,1
