1896,"select p.objID, p.bin, p.band, p.profMean from PhotoProfile AS p WHERE p.objID=# AND p.band=#"
2019-11-21 11:07:00,46
2019-11-21 11:08:00,56
2019-11-21 11:09:00,50
2019-11-21 11:10:00,48
2019-11-21 11:11:00,47
2019-11-21 11:12:00,50
2019-11-21 11:13:00,48
2019-11-21 11:14:00,54
2019-11-21 11:15:00,60
2019-11-21 11:16:00,59
2019-11-21 11:17:00,59
2019-11-21 11:18:00,60
2019-11-21 11:19:00,60
2019-11-21 11:20:00,59
2019-11-21 11:21:00,59
2019-11-21 11:22:00,60
2019-11-21 11:23:00,59
2019-11-21 11:24:00,59
2019-11-21 11:25:00,59
2019-11-21 11:26:00,59
2019-11-21 11:27:00,60
2019-11-21 11:28:00,59
2019-11-21 11:29:00,59
2019-11-21 11:30:00,58
2019-11-21 11:31:00,58
2019-11-21 11:32:00,58
2019-11-21 11:33:00,61
2019-11-21 11:34:00,57
2019-11-21 11:35:00,60
2019-11-21 11:36:00,60
2019-11-21 11:37:00,60
2019-11-21 11:38:00,59
2019-11-21 11:39:00,60
2019-11-21 11:40:00,16
