448,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE (p.run=# AND p.camcol=# AND p.field=# AND p.rerun=#)"
2019-11-21 23:29:00,14
2019-11-21 23:30:00,20
2019-11-21 23:31:00,21
2019-11-21 23:32:00,21
2019-11-21 23:33:00,17
2019-11-21 23:34:00,18
2019-11-21 23:35:00,14
2019-11-21 23:36:00,19
2019-11-21 23:37:00,14
2019-11-21 23:38:00,16
2019-11-21 23:39:00,12
2019-11-21 23:40:00,15
2019-11-21 23:41:00,15
2019-11-21 23:42:00,15
2019-11-21 23:43:00,14
2019-11-21 23:44:00,14
2019-11-21 23:45:00,14
2019-11-21 23:46:00,13
2019-11-21 23:47:00,15
2019-11-21 23:48:00,11
2019-11-21 23:49:00,16
2019-11-21 23:50:00,13
2019-11-21 23:51:00,12
2019-11-21 23:52:00,13
2019-11-21 23:53:00,11
2019-11-21 23:54:00,12
2019-11-21 23:55:00,12
2019-11-21 23:56:00,12
2019-11-21 23:57:00,13
2019-11-21 23:58:00,11
2019-11-21 23:59:00,11
