46,"SELECT p.objId, p.ra,p.dec,p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z, s.plate, s.mjd, s.fiberid, n.sersic_n FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid    JOIN nsatlas AS n ON n.mjd = s.mjd and n.fiberID = s.fiberID and n.plate = s.plate WHERE p.petror9#_r > #   and p.ra between # and #   and s.z between # and #   and p.g < #"
2019-11-21 10:06:00,2
2019-11-21 10:08:00,1
2019-11-21 10:09:00,1
2019-11-21 10:11:00,1
2019-11-21 10:14:00,1
2019-11-21 10:18:00,1
2019-11-21 10:19:00,1
2019-11-21 10:33:00,1
2019-11-21 10:37:00,1
2019-11-21 10:43:00,1
2019-11-21 10:44:00,1
2019-11-21 10:47:00,2
2019-11-21 10:49:00,1
2019-11-21 10:51:00,1
2019-11-21 10:53:00,1
2019-11-21 10:56:00,1
2019-11-21 11:10:00,1
2019-11-21 11:11:00,1
2019-11-21 11:12:00,1
2019-11-21 11:14:00,1
2019-11-21 11:15:00,1
2019-11-21 11:22:00,1
2019-11-21 11:24:00,1
2019-11-21 11:29:00,1
2019-11-21 11:37:00,1
2019-11-21 11:39:00,1
2019-11-21 11:42:00,1
2019-11-21 11:43:00,1
2019-11-21 11:47:00,1
2019-11-21 11:48:00,1
2019-11-21 11:54:00,1
2019-11-21 11:57:00,1
2019-11-21 11:58:00,1
2019-11-21 11:59:00,2
2019-11-21 12:00:00,1
2019-11-21 12:03:00,1
2019-11-21 12:05:00,1
2019-11-21 12:06:00,1
2019-11-21 12:11:00,2
2019-11-21 12:18:00,1
2019-11-21 12:27:00,2
