3327,select * from sqllogall2#_#_#h_to_#_#h where mm = # and dd = # and hh = #
2019-11-21 08:53:00,28
2019-11-21 08:54:00,33
2019-11-21 08:55:00,31
2019-11-21 08:56:00,31
2019-11-21 08:57:00,27
2019-11-21 08:58:00,28
2019-11-21 08:59:00,27
2019-11-21 09:00:00,22
2019-11-21 09:01:00,25
2019-11-21 09:02:00,24
2019-11-21 09:03:00,22
2019-11-21 09:04:00,23
2019-11-21 09:05:00,22
2019-11-21 09:06:00,21
2019-11-21 09:07:00,20
2019-11-21 09:08:00,21
2019-11-21 09:09:00,21
2019-11-21 09:10:00,20
2019-11-21 09:11:00,18
2019-11-21 09:12:00,19
2019-11-21 09:13:00,19
2019-11-21 09:14:00,19
2019-11-21 09:15:00,18
2019-11-21 09:16:00,17
2019-11-21 09:17:00,17
2019-11-21 09:18:00,17
2019-11-21 09:19:00,16
2019-11-21 09:20:00,17
2019-11-21 09:21:00,16
2019-11-21 09:22:00,16
2019-11-21 09:23:00,16
2019-11-21 09:24:00,15
2019-11-21 09:25:00,15
2019-11-21 09:26:00,15
2019-11-21 09:27:00,16
2019-11-21 09:28:00,12
2019-11-21 09:30:00,12
2019-11-21 09:31:00,34
2019-11-21 09:32:00,32
2019-11-21 09:33:00,14
2019-11-21 10:47:00,12
2019-11-21 10:48:00,34
2019-11-21 10:49:00,32
2019-11-21 10:50:00,30
2019-11-21 10:51:00,27
2019-11-21 10:52:00,27
2019-11-21 10:53:00,26
2019-11-21 10:54:00,25
2019-11-21 10:55:00,24
2019-11-21 10:56:00,23
2019-11-21 10:57:00,23
2019-11-21 10:58:00,21
2019-11-21 10:59:00,20
2019-11-21 11:00:00,19
2019-11-21 11:01:00,17
2019-11-21 11:14:00,30
2019-11-21 11:15:00,32
2019-11-21 11:16:00,30
2019-11-21 11:17:00,27
2019-11-21 11:18:00,27
2019-11-21 11:19:00,26
2019-11-21 11:20:00,24
2019-11-21 11:21:00,25
2019-11-21 11:22:00,24
2019-11-21 11:23:00,24
2019-11-21 11:24:00,24
2019-11-21 11:25:00,23
2019-11-21 11:26:00,22
2019-11-21 11:27:00,22
2019-11-21 11:28:00,21
2019-11-21 11:29:00,3
2019-11-21 11:39:00,3
2019-11-21 11:40:00,32
2019-11-21 11:41:00,27
2019-11-21 11:42:00,26
2019-11-21 11:43:00,24
2019-11-21 11:44:00,22
2019-11-21 11:45:00,21
2019-11-21 11:46:00,21
2019-11-21 11:47:00,19
2019-11-21 11:48:00,18
2019-11-21 11:49:00,18
2019-11-21 11:50:00,20
2019-11-21 11:51:00,16
2019-11-21 11:52:00,17
2019-11-21 11:53:00,15
2019-11-21 11:54:00,16
2019-11-21 11:55:00,16
2019-11-21 11:56:00,13
2019-11-21 11:57:00,14
2019-11-21 11:58:00,13
2019-11-21 11:59:00,12
2019-11-21 12:00:00,12
2019-11-21 12:01:00,12
2019-11-21 12:02:00,13
2019-11-21 12:03:00,12
2019-11-21 12:04:00,11
2019-11-21 12:05:00,12
2019-11-21 12:06:00,11
2019-11-21 12:07:00,11
2019-11-21 12:08:00,11
2019-11-21 12:09:00,11
2019-11-21 12:10:00,11
2019-11-21 12:11:00,10
2019-11-21 12:12:00,10
2019-11-21 12:13:00,11
2019-11-21 12:14:00,11
2019-11-21 12:15:00,10
2019-11-21 12:16:00,9
2019-11-21 12:17:00,10
2019-11-21 12:18:00,10
2019-11-21 12:19:00,10
2019-11-21 12:20:00,9
2019-11-21 12:21:00,10
2019-11-21 12:22:00,10
2019-11-21 12:23:00,9
2019-11-21 12:24:00,10
2019-11-21 12:25:00,9
2019-11-21 12:26:00,10
2019-11-21 12:27:00,4
2019-11-21 13:18:00,12
2019-11-21 13:19:00,30
2019-11-21 13:20:00,27
2019-11-21 13:21:00,26
2019-11-21 13:22:00,23
2019-11-21 13:23:00,21
2019-11-21 13:24:00,21
2019-11-21 13:25:00,21
2019-11-21 13:26:00,18
2019-11-21 13:27:00,18
2019-11-21 13:28:00,17
2019-11-21 13:29:00,18
2019-11-21 13:30:00,17
2019-11-21 13:31:00,16
2019-11-21 13:32:00,14
2019-11-21 13:33:00,14
2019-11-21 13:34:00,14
2019-11-21 13:35:00,14
2019-11-21 13:36:00,14
2019-11-21 13:37:00,11
2019-11-21 13:42:00,31
2019-11-21 13:43:00,28
2019-11-21 13:44:00,26
2019-11-21 13:45:00,25
2019-11-21 13:46:00,23
2019-11-21 13:47:00,21
2019-11-21 13:48:00,20
2019-11-21 13:49:00,20
2019-11-21 13:50:00,19
2019-11-21 13:51:00,18
2019-11-21 13:52:00,18
2019-11-21 13:53:00,17
2019-11-21 13:54:00,16
2019-11-21 13:55:00,15
2019-11-21 13:56:00,15
2019-11-21 13:57:00,15
2019-11-21 13:58:00,14
2019-11-21 13:59:00,15
2019-11-21 14:00:00,4
2019-11-21 14:05:00,24
2019-11-21 14:06:00,27
2019-11-21 14:07:00,24
2019-11-21 14:08:00,23
2019-11-21 14:09:00,22
2019-11-21 14:10:00,22
2019-11-21 14:11:00,19
2019-11-21 14:12:00,19
2019-11-21 14:13:00,18
2019-11-21 14:14:00,18
2019-11-21 14:15:00,17
2019-11-21 14:16:00,17
2019-11-21 14:17:00,17
2019-11-21 14:18:00,15
2019-11-21 14:19:00,15
2019-11-21 14:20:00,15
2019-11-21 14:21:00,13
2019-11-21 14:22:00,14
2019-11-21 14:23:00,8
2019-11-21 14:24:00,2
