14,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-07-29 00:52:00,1
2019-07-29 00:53:00,1
2019-07-29 00:54:00,2
2019-07-29 00:55:00,1
2019-07-29 06:07:00,1
2019-07-29 07:45:00,1
2019-07-29 11:54:00,1
2019-07-29 13:06:00,1
2019-07-29 13:14:00,1
2019-07-29 13:54:00,1
2019-07-29 15:00:00,1
2019-07-29 15:24:00,1
2019-07-29 21:48:00,1
