9,"select TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z from photoobj AS p JOIN Specobj AS s ON s.bestobjid = p.objid where s.z < # and s.z > # and s.class = &&& and s.zWarning = #"
2019-07-29 07:58:00,1
2019-07-29 08:00:00,1
2019-07-29 08:02:00,1
2019-07-29 08:10:00,1
2019-07-29 08:12:00,2
2019-07-29 08:13:00,2
2019-07-29 08:14:00,1
