25,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-07-29 00:03:00,1
2019-07-29 00:35:00,1
2019-07-29 01:02:00,1
2019-07-29 02:32:00,1
2019-07-29 05:23:00,1
2019-07-29 09:36:00,1
2019-07-29 10:08:00,1
2019-07-29 10:33:00,1
2019-07-29 12:02:00,1
2019-07-29 12:30:00,3
2019-07-29 12:32:00,1
2019-07-29 12:38:00,1
2019-07-29 12:39:00,2
2019-07-29 12:40:00,2
2019-07-29 12:48:00,1
2019-07-29 12:54:00,1
2019-07-29 12:55:00,1
2019-07-29 13:04:00,1
2019-07-29 16:48:00,1
2019-07-29 21:28:00,1
2019-07-29 22:24:00,1
