12,"SELECT up_id, dbo.fGetNearestObjIdEq(up_ra,up_dec,#) as objId   FROM #upload WHERE dbo.fGetNearestObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&'<a target=INFO href=http://skyserver.sdss.org/DR1#/en/tools/explore/obj.aspx?id=&&& + cast(x.objId as varchar(#)) + &&&>&&&+ cast(x.objId as varchar(#)) + &&&</a>&&& as objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field,  dbo.fPhotoTypeN(p.type) as type,  p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z,  s.specObjID, s.plate, s.mjd, s.fiberID, s.z FROM #upload u  JOIN #x x ON x.up_id = u.up_id  JOIN PhotoTag p ON p.objID = x.objID  JOIN SpecObj s ON p.objID = s.bestObjID ORDER by x.up_id &&&#', @log=#, @filter=#"
2019-07-29 11:54:00,1
2019-07-29 12:25:00,1
2019-07-29 13:25:00,1
2019-07-29 13:27:00,1
2019-07-29 13:59:00,2
2019-07-29 14:10:00,1
2019-07-29 14:50:00,1
2019-07-29 15:41:00,1
2019-07-29 15:42:00,2
2019-07-29 15:43:00,1
