1367,"SELECT  &&& + cast(p.apstar_id as varchar(#)) + &&& + cast(p.apstar_id as varchar(#)) + &&& as apstar_id,    p.apogee_id,p.ra, p.dec, p.glon, p.glat,    p.vhelio_avg,p.vscatter,    a.teff,a.logg,a.metals    FROM apogeeStar p    JOIN fGetNearbyApogeeStarEq(#,#,#) n on p.apstar_id=n.apstar_id    JOIN aspcapStar a on a.apstar_id = p.apstar_id"
2019-07-29 08:18:00,6
2019-07-29 08:23:00,1
2019-07-29 08:24:00,1
2019-07-29 08:26:00,2
2019-07-29 08:28:00,6
2019-07-29 08:33:00,1
2019-07-29 08:34:00,1
2019-07-29 08:36:00,2
2019-07-29 08:38:00,5
2019-07-29 08:43:00,1
2019-07-29 08:44:00,1
2019-07-29 08:46:00,2
2019-07-29 08:48:00,5
2019-07-29 08:53:00,1
2019-07-29 08:54:00,1
2019-07-29 08:56:00,2
2019-07-29 08:58:00,7
2019-07-29 09:03:00,1
2019-07-29 09:04:00,1
2019-07-29 09:06:00,2
2019-07-29 09:08:00,6
2019-07-29 09:13:00,1
2019-07-29 09:14:00,1
2019-07-29 09:16:00,2
2019-07-29 09:18:00,7
2019-07-29 09:23:00,1
2019-07-29 09:24:00,1
2019-07-29 09:26:00,2
2019-07-29 09:28:00,5
2019-07-29 09:33:00,1
2019-07-29 09:34:00,1
2019-07-29 09:36:00,2
2019-07-29 09:38:00,5
2019-07-29 09:43:00,1
2019-07-29 09:44:00,1
2019-07-29 09:46:00,2
2019-07-29 09:48:00,5
2019-07-29 09:53:00,1
2019-07-29 09:54:00,1
2019-07-29 09:56:00,2
2019-07-29 09:58:00,5
2019-07-29 10:03:00,1
2019-07-29 10:04:00,1
2019-07-29 10:06:00,2
2019-07-29 10:08:00,5
2019-07-29 10:13:00,1
2019-07-29 10:14:00,1
2019-07-29 10:16:00,2
2019-07-29 10:18:00,6
2019-07-29 10:23:00,1
2019-07-29 10:24:00,1
2019-07-29 10:26:00,2
2019-07-29 10:28:00,7
2019-07-29 10:33:00,1
2019-07-29 10:34:00,1
2019-07-29 10:36:00,2
2019-07-29 10:38:00,7
2019-07-29 10:43:00,1
2019-07-29 10:44:00,1
2019-07-29 10:46:00,2
2019-07-29 10:48:00,5
2019-07-29 10:53:00,1
2019-07-29 10:54:00,1
2019-07-29 10:56:00,2
2019-07-29 10:58:00,7
2019-07-29 11:03:00,1
2019-07-29 11:04:00,1
2019-07-29 11:06:00,2
2019-07-29 11:08:00,6
2019-07-29 11:13:00,1
2019-07-29 11:14:00,1
2019-07-29 11:16:00,2
2019-07-29 11:18:00,9
2019-07-29 11:23:00,1
2019-07-29 11:24:00,1
2019-07-29 11:26:00,2
2019-07-29 11:28:00,6
2019-07-29 11:33:00,1
2019-07-29 11:34:00,1
2019-07-29 11:36:00,2
2019-07-29 11:38:00,5
2019-07-29 11:43:00,1
2019-07-29 11:44:00,1
2019-07-29 11:46:00,2
2019-07-29 11:48:00,5
2019-07-29 11:53:00,1
2019-07-29 11:54:00,1
2019-07-29 11:56:00,2
2019-07-29 11:58:00,5
2019-07-29 12:03:00,1
2019-07-29 12:04:00,1
2019-07-29 12:06:00,2
2019-07-29 12:08:00,7
2019-07-29 12:13:00,1
2019-07-29 12:14:00,1
2019-07-29 12:16:00,2
2019-07-29 12:18:00,7
2019-07-29 12:23:00,1
2019-07-29 12:24:00,1
2019-07-29 12:26:00,2
2019-07-29 12:28:00,7
2019-07-29 12:33:00,1
2019-07-29 12:34:00,1
2019-07-29 12:36:00,2
2019-07-29 12:38:00,5
2019-07-29 12:43:00,1
2019-07-29 12:44:00,1
2019-07-29 12:46:00,2
2019-07-29 12:48:00,5
2019-07-29 12:53:00,1
2019-07-29 12:54:00,1
2019-07-29 12:56:00,2
2019-07-29 12:58:00,7
2019-07-29 13:03:00,1
2019-07-29 13:04:00,1
2019-07-29 13:06:00,2
2019-07-29 13:08:00,5
2019-07-29 13:13:00,1
2019-07-29 13:14:00,1
2019-07-29 13:16:00,2
2019-07-29 13:18:00,5
2019-07-29 13:23:00,1
2019-07-29 13:24:00,1
2019-07-29 13:26:00,2
2019-07-29 13:28:00,5
2019-07-29 13:33:00,1
2019-07-29 13:34:00,1
2019-07-29 13:36:00,2
2019-07-29 13:38:00,6
2019-07-29 13:43:00,1
2019-07-29 13:44:00,1
2019-07-29 13:46:00,2
2019-07-29 13:48:00,5
2019-07-29 13:53:00,1
2019-07-29 13:54:00,1
2019-07-29 13:56:00,2
2019-07-29 13:58:00,5
2019-07-29 14:03:00,1
2019-07-29 14:04:00,1
2019-07-29 14:06:00,2
2019-07-29 14:08:00,5
2019-07-29 14:13:00,1
2019-07-29 14:14:00,1
2019-07-29 14:16:00,2
2019-07-29 14:18:00,7
2019-07-29 14:23:00,1
2019-07-29 14:24:00,1
2019-07-29 14:26:00,2
2019-07-29 14:28:00,7
2019-07-29 14:33:00,1
2019-07-29 14:34:00,1
2019-07-29 14:36:00,2
2019-07-29 14:38:00,5
2019-07-29 14:43:00,1
2019-07-29 14:44:00,1
2019-07-29 14:46:00,2
2019-07-29 14:48:00,5
2019-07-29 14:53:00,1
2019-07-29 14:54:00,1
2019-07-29 14:56:00,2
2019-07-29 14:58:00,5
2019-07-29 15:03:00,1
2019-07-29 15:04:00,1
2019-07-29 15:06:00,2
2019-07-29 15:08:00,5
2019-07-29 15:13:00,1
2019-07-29 15:14:00,1
2019-07-29 15:16:00,2
2019-07-29 15:18:00,5
2019-07-29 15:23:00,1
2019-07-29 15:24:00,1
2019-07-29 15:26:00,2
2019-07-29 15:28:00,5
2019-07-29 15:33:00,1
2019-07-29 15:34:00,1
2019-07-29 15:36:00,2
2019-07-29 15:38:00,6
2019-07-29 15:43:00,1
2019-07-29 15:44:00,1
2019-07-29 15:46:00,2
2019-07-29 15:48:00,5
2019-07-29 15:53:00,1
2019-07-29 15:54:00,1
2019-07-29 15:56:00,2
2019-07-29 15:58:00,5
2019-07-29 16:03:00,1
2019-07-29 16:04:00,1
2019-07-29 16:06:00,2
2019-07-29 16:08:00,5
2019-07-29 16:13:00,1
2019-07-29 16:14:00,1
2019-07-29 16:16:00,2
2019-07-29 16:18:00,5
2019-07-29 16:23:00,1
2019-07-29 16:24:00,1
2019-07-29 16:26:00,2
2019-07-29 16:28:00,5
2019-07-29 16:33:00,1
2019-07-29 16:34:00,1
2019-07-29 16:36:00,2
2019-07-29 16:38:00,5
2019-07-29 16:43:00,1
2019-07-29 16:44:00,1
2019-07-29 16:46:00,2
2019-07-29 16:48:00,5
2019-07-29 16:53:00,1
2019-07-29 16:54:00,1
2019-07-29 16:56:00,2
2019-07-29 16:58:00,5
2019-07-29 17:03:00,1
2019-07-29 17:04:00,1
2019-07-29 17:06:00,2
2019-07-29 17:08:00,5
2019-07-29 17:13:00,1
2019-07-29 17:14:00,1
2019-07-29 17:16:00,2
2019-07-29 17:18:00,5
2019-07-29 17:23:00,1
2019-07-29 17:24:00,1
2019-07-29 17:26:00,2
2019-07-29 17:28:00,5
2019-07-29 17:33:00,1
2019-07-29 17:34:00,1
2019-07-29 17:36:00,2
2019-07-29 17:38:00,7
2019-07-29 17:43:00,1
2019-07-29 17:44:00,1
2019-07-29 17:46:00,2
2019-07-29 17:48:00,6
2019-07-29 17:53:00,1
2019-07-29 17:54:00,1
2019-07-29 17:56:00,2
2019-07-29 17:58:00,5
2019-07-29 18:03:00,1
2019-07-29 18:04:00,1
2019-07-29 18:06:00,2
2019-07-29 18:08:00,5
2019-07-29 18:13:00,1
2019-07-29 18:15:00,1
2019-07-29 18:16:00,2
2019-07-29 18:18:00,11
2019-07-29 18:23:00,1
2019-07-29 18:24:00,1
2019-07-29 18:26:00,2
2019-07-29 18:28:00,5
2019-07-29 18:33:00,1
2019-07-29 18:34:00,1
2019-07-29 18:36:00,2
2019-07-29 18:38:00,5
2019-07-29 18:43:00,1
2019-07-29 18:45:00,1
2019-07-29 18:46:00,2
2019-07-29 18:48:00,5
2019-07-29 18:53:00,1
2019-07-29 18:55:00,1
2019-07-29 18:56:00,2
2019-07-29 18:58:00,6
2019-07-29 19:03:00,1
2019-07-29 19:05:00,1
2019-07-29 19:06:00,2
2019-07-29 19:08:00,5
2019-07-29 19:13:00,1
2019-07-29 19:15:00,1
2019-07-29 19:16:00,2
2019-07-29 19:18:00,5
2019-07-29 19:23:00,1
2019-07-29 19:25:00,1
2019-07-29 19:26:00,2
2019-07-29 19:28:00,5
2019-07-29 19:33:00,1
2019-07-29 19:35:00,1
2019-07-29 19:36:00,2
2019-07-29 19:38:00,5
2019-07-29 19:43:00,1
2019-07-29 19:45:00,1
2019-07-29 19:46:00,2
2019-07-29 19:48:00,5
2019-07-29 19:53:00,1
2019-07-29 19:55:00,1
2019-07-29 19:56:00,2
2019-07-29 19:58:00,5
2019-07-29 20:03:00,1
2019-07-29 20:05:00,1
2019-07-29 20:06:00,2
2019-07-29 20:08:00,6
2019-07-29 20:13:00,1
2019-07-29 20:15:00,1
2019-07-29 20:16:00,2
2019-07-29 20:18:00,5
2019-07-29 20:23:00,1
2019-07-29 20:25:00,1
2019-07-29 20:26:00,2
2019-07-29 20:28:00,5
2019-07-29 20:33:00,1
2019-07-29 20:35:00,1
2019-07-29 20:36:00,2
2019-07-29 20:38:00,5
2019-07-29 20:43:00,1
2019-07-29 20:45:00,1
2019-07-29 20:46:00,2
2019-07-29 20:48:00,5
2019-07-29 20:53:00,1
2019-07-29 20:55:00,1
2019-07-29 20:56:00,2
2019-07-29 20:58:00,5
2019-07-29 21:03:00,1
2019-07-29 21:05:00,1
2019-07-29 21:06:00,2
2019-07-29 21:08:00,6
2019-07-29 21:13:00,1
2019-07-29 21:15:00,1
2019-07-29 21:16:00,2
2019-07-29 21:18:00,5
2019-07-29 21:23:00,1
2019-07-29 21:25:00,1
2019-07-29 21:26:00,2
2019-07-29 21:28:00,5
2019-07-29 21:33:00,1
2019-07-29 21:35:00,1
2019-07-29 21:36:00,2
2019-07-29 21:38:00,5
2019-07-29 21:43:00,1
2019-07-29 21:45:00,1
2019-07-29 21:46:00,2
2019-07-29 21:48:00,6
2019-07-29 21:53:00,1
2019-07-29 21:55:00,1
2019-07-29 21:56:00,2
2019-07-29 21:58:00,6
2019-07-29 22:03:00,1
2019-07-29 22:05:00,1
2019-07-29 22:06:00,2
2019-07-29 22:08:00,5
2019-07-29 22:14:00,1
2019-07-29 22:15:00,1
2019-07-29 22:16:00,2
2019-07-29 22:18:00,5
2019-07-29 22:24:00,1
2019-07-29 22:25:00,1
2019-07-29 22:26:00,2
2019-07-29 22:28:00,6
2019-07-29 22:34:00,1
2019-07-29 22:35:00,1
2019-07-29 22:36:00,2
2019-07-29 22:38:00,5
