4,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN PhotoObj AS p ON s.bestobjid=p.objid  WHERE s.z > # AND s.zWarning = # AND s.z < # AND p.g < #"
2019-07-29 13:39:00,2
2019-07-29 14:52:00,1
2019-07-29 15:01:00,1
