205,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-07-29 05:00:00,4
2019-07-29 05:01:00,5
2019-07-29 05:02:00,6
2019-07-29 05:03:00,5
2019-07-29 05:04:00,6
2019-07-29 05:05:00,4
2019-07-29 05:06:00,6
2019-07-29 05:07:00,6
2019-07-29 05:08:00,12
2019-07-29 05:09:00,15
2019-07-29 05:10:00,14
2019-07-29 05:11:00,15
2019-07-29 05:12:00,15
2019-07-29 05:13:00,15
2019-07-29 05:14:00,14
2019-07-29 05:15:00,10
2019-07-29 05:26:00,1
2019-07-29 05:35:00,1
2019-07-29 05:36:00,1
2019-07-29 18:01:00,9
2019-07-29 18:02:00,14
2019-07-29 18:03:00,7
2019-07-29 18:04:00,4
2019-07-29 18:05:00,6
2019-07-29 18:06:00,10
