7,"SELECT TOP # p.objid, p.ra,p.dec,p.petror9#_r, s.zErr, zns.nvote, zns.p_cw as spiralclock, zns.p_acw as spiralanticlock   FROM Galaxy as p    JOIN ZooNoSpec AS zns ON p.objid = zns.objid    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.clean=# and zns.nvote >= # and zns.p_cw > #"
2019-02-27 15:21:00,4
2019-02-27 15:22:00,2
2019-02-27 17:22:00,1
