443,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-02-27 03:52:00,1
2019-02-27 03:53:00,3
2019-02-27 03:54:00,1
2019-02-27 03:55:00,1
2019-02-27 03:56:00,5
2019-02-27 03:57:00,1
2019-02-27 03:58:00,1
2019-02-27 03:59:00,2
2019-02-27 04:00:00,1
2019-02-27 04:01:00,2
2019-02-27 04:02:00,2
2019-02-27 04:03:00,5
2019-02-27 04:04:00,2
2019-02-27 04:05:00,1
2019-02-27 04:07:00,1
2019-02-27 04:09:00,1
2019-02-27 04:12:00,1
2019-02-27 04:14:00,1
2019-02-27 04:17:00,2
2019-02-27 04:23:00,1
2019-02-27 04:29:00,2
2019-02-27 04:33:00,2
2019-02-27 04:34:00,2
2019-02-27 04:35:00,2
2019-02-27 04:36:00,2
2019-02-27 04:37:00,3
2019-02-27 04:38:00,3
2019-02-27 04:39:00,1
2019-02-27 04:44:00,1
2019-02-27 04:45:00,2
2019-02-27 04:46:00,1
2019-02-27 04:48:00,2
2019-02-27 04:51:00,3
2019-02-27 04:52:00,1
2019-02-27 04:53:00,2
2019-02-27 04:54:00,1
2019-02-27 04:56:00,1
2019-02-27 04:58:00,1
2019-02-27 04:59:00,3
2019-02-27 05:00:00,4
2019-02-27 05:01:00,4
2019-02-27 05:02:00,6
2019-02-27 05:03:00,6
2019-02-27 05:04:00,5
2019-02-27 05:05:00,6
2019-02-27 05:06:00,4
2019-02-27 05:07:00,3
2019-02-27 05:08:00,5
2019-02-27 05:09:00,1
2019-02-27 05:19:00,1
2019-02-27 05:20:00,3
2019-02-27 05:22:00,3
2019-02-27 05:23:00,3
2019-02-27 05:24:00,5
2019-02-27 05:25:00,6
2019-02-27 05:26:00,2
2019-02-27 05:27:00,1
2019-02-27 05:28:00,2
2019-02-27 05:30:00,6
2019-02-27 05:31:00,3
2019-02-27 05:34:00,1
2019-02-27 06:15:00,3
2019-02-27 06:16:00,7
2019-02-27 06:17:00,6
2019-02-27 06:18:00,6
2019-02-27 06:19:00,6
2019-02-27 06:20:00,7
2019-02-27 06:21:00,6
2019-02-27 06:22:00,3
2019-02-27 06:23:00,4
2019-02-27 06:24:00,2
2019-02-27 06:25:00,3
2019-02-27 06:26:00,3
2019-02-27 06:27:00,4
2019-02-27 06:28:00,6
2019-02-27 06:29:00,4
2019-02-27 06:30:00,6
2019-02-27 06:31:00,5
2019-02-27 06:32:00,6
2019-02-27 06:33:00,4
2019-02-27 06:34:00,3
2019-02-27 06:49:00,1
2019-02-27 07:02:00,1
2019-02-27 07:03:00,3
2019-02-27 07:04:00,6
2019-02-27 07:05:00,1
2019-02-27 07:06:00,1
2019-02-27 07:07:00,3
2019-02-27 07:08:00,2
2019-02-27 07:09:00,5
2019-02-27 07:10:00,1
2019-02-27 07:11:00,2
2019-02-27 07:12:00,3
2019-02-27 07:13:00,6
2019-02-27 07:14:00,5
2019-02-27 07:15:00,2
2019-02-27 07:16:00,5
2019-02-27 07:17:00,4
2019-02-27 07:18:00,4
2019-02-27 07:19:00,7
2019-02-27 07:20:00,5
2019-02-27 07:21:00,4
2019-02-27 07:22:00,6
2019-02-27 07:23:00,5
2019-02-27 07:24:00,7
2019-02-27 07:25:00,5
2019-02-27 07:26:00,5
2019-02-27 07:27:00,5
2019-02-27 07:28:00,4
2019-02-27 07:29:00,7
2019-02-27 07:30:00,5
2019-02-27 07:31:00,6
2019-02-27 07:32:00,4
2019-02-27 07:33:00,4
2019-02-27 07:34:00,6
2019-02-27 07:35:00,5
2019-02-27 07:36:00,4
2019-02-27 07:37:00,3
2019-02-27 07:38:00,3
2019-02-27 07:39:00,5
2019-02-27 07:40:00,6
2019-02-27 07:41:00,5
2019-02-27 07:42:00,5
2019-02-27 07:43:00,3
2019-02-27 07:44:00,3
2019-02-27 07:45:00,6
2019-02-27 07:46:00,3
2019-02-27 07:47:00,4
2019-02-27 07:48:00,1
2019-02-27 07:49:00,3
