1465,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between # and # and photoprimary.r between # and #
2019-02-27 06:50:00,3
2019-02-27 06:53:00,1
2019-02-27 06:56:00,1
2019-02-27 06:58:00,1
2019-02-27 07:00:00,3
2019-02-27 07:03:00,1
2019-02-27 07:04:00,2
2019-02-27 07:06:00,1
2019-02-27 07:07:00,1
2019-02-27 07:09:00,1
2019-02-27 07:12:00,4
2019-02-27 07:15:00,3
2019-02-27 07:16:00,1
2019-02-27 07:19:00,3
2019-02-27 07:21:00,2
2019-02-27 07:24:00,1
2019-02-27 07:27:00,3
2019-02-27 07:30:00,1
2019-02-27 07:31:00,1
2019-02-27 07:32:00,1
2019-02-27 07:34:00,1
2019-02-27 07:35:00,2
2019-02-27 07:36:00,2
2019-02-27 07:37:00,1
2019-02-27 07:38:00,2
2019-02-27 07:39:00,2
2019-02-27 07:40:00,1
2019-02-27 07:44:00,1
2019-02-27 07:45:00,1
2019-02-27 09:31:00,10
2019-02-27 09:33:00,2
2019-02-27 09:34:00,3
2019-02-27 09:37:00,5
2019-02-27 09:38:00,1
2019-02-27 09:39:00,6
2019-02-27 09:40:00,4
2019-02-27 09:42:00,2
2019-02-27 09:43:00,1
2019-02-27 09:44:00,1
2019-02-27 09:45:00,7
2019-02-27 09:46:00,1
2019-02-27 09:47:00,3
2019-02-27 09:48:00,2
2019-02-27 09:49:00,12
2019-02-27 09:51:00,2
2019-02-27 09:52:00,2
2019-02-27 09:53:00,3
2019-02-27 09:54:00,5
2019-02-27 09:55:00,4
2019-02-27 09:56:00,5
2019-02-27 09:57:00,3
2019-02-27 21:21:00,15
2019-02-27 21:22:00,2
2019-02-27 21:23:00,2
2019-02-27 21:25:00,4
2019-02-27 21:26:00,7
2019-02-27 21:27:00,1
2019-02-27 21:28:00,1
2019-02-27 21:29:00,1
2019-02-27 21:30:00,1
2019-02-27 21:32:00,1
2019-02-27 21:33:00,4
2019-02-27 21:34:00,5
2019-02-27 21:35:00,3
2019-02-27 21:38:00,1
2019-02-27 21:39:00,12
2019-02-27 21:42:00,3
2019-02-27 21:43:00,5
2019-02-27 21:44:00,2
2019-02-27 21:46:00,1
2019-02-27 21:48:00,5
2019-02-27 21:49:00,3
2019-02-27 21:50:00,1
2019-02-27 21:51:00,1
2019-02-27 21:52:00,1
2019-02-27 21:53:00,2
2019-02-27 21:54:00,1
2019-02-27 21:55:00,2
2019-02-27 21:57:00,1
2019-02-27 21:58:00,9
2019-02-27 21:59:00,1
2019-02-27 22:00:00,1
2019-02-27 22:01:00,7
2019-02-27 22:02:00,4
2019-02-27 22:03:00,10
2019-02-27 22:04:00,1
2019-02-27 22:05:00,3
2019-02-27 22:06:00,3
2019-02-27 22:07:00,2
2019-02-27 22:09:00,8
2019-02-27 22:10:00,1
2019-02-27 22:11:00,3
2019-02-27 22:12:00,5
2019-02-27 22:13:00,1
2019-02-27 22:14:00,1
2019-02-27 22:15:00,2
2019-02-27 22:17:00,9
2019-02-27 22:18:00,15
2019-02-27 22:19:00,19
2019-02-27 22:20:00,27
2019-02-27 22:21:00,24
2019-02-27 22:22:00,14
2019-02-27 22:23:00,21
2019-02-27 22:24:00,18
2019-02-27 22:25:00,20
2019-02-27 22:26:00,14
2019-02-27 22:27:00,10
2019-02-27 22:28:00,18
2019-02-27 22:29:00,20
2019-02-27 22:30:00,17
2019-02-27 22:31:00,15
2019-02-27 22:32:00,42
2019-02-27 22:33:00,37
2019-02-27 22:34:00,14
2019-02-27 22:35:00,19
2019-02-27 22:36:00,25
2019-02-27 22:37:00,20
2019-02-27 22:38:00,32
2019-02-27 22:39:00,28
2019-02-27 22:40:00,15
2019-02-27 22:41:00,15
2019-02-27 22:42:00,1
2019-02-27 22:43:00,9
