202,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-02-27 06:01:00,2
2019-02-27 06:20:00,1
2019-02-27 06:52:00,5
2019-02-27 06:53:00,13
2019-02-27 06:54:00,6
2019-02-27 07:38:00,6
2019-02-27 08:14:00,1
2019-02-27 08:17:00,1
2019-02-27 10:38:00,3
2019-02-27 11:15:00,1
2019-02-27 11:41:00,3
2019-02-27 11:42:00,8
2019-02-27 12:43:00,1
2019-02-27 12:44:00,8
2019-02-27 12:45:00,3
2019-02-27 12:47:00,1
2019-02-27 13:01:00,2
2019-02-27 13:02:00,2
2019-02-27 13:03:00,1
2019-02-27 13:05:00,4
2019-02-27 13:08:00,2
2019-02-27 13:09:00,3
2019-02-27 13:10:00,1
2019-02-27 13:11:00,1
2019-02-27 13:12:00,1
2019-02-27 13:13:00,1
2019-02-27 13:14:00,2
2019-02-27 13:15:00,1
2019-02-27 13:17:00,4
2019-02-27 13:18:00,2
2019-02-27 13:20:00,5
2019-02-27 13:22:00,2
2019-02-27 13:23:00,2
2019-02-27 13:24:00,2
2019-02-27 13:25:00,2
2019-02-27 13:26:00,1
2019-02-27 13:28:00,4
2019-02-27 13:30:00,3
2019-02-27 13:32:00,1
2019-02-27 13:33:00,1
2019-02-27 13:34:00,3
2019-02-27 13:36:00,5
2019-02-27 13:37:00,1
2019-02-27 13:38:00,2
2019-02-27 13:39:00,1
2019-02-27 13:41:00,11
2019-02-27 13:42:00,3
2019-02-27 13:43:00,3
2019-02-27 13:44:00,3
2019-02-27 13:45:00,2
2019-02-27 13:46:00,3
2019-02-27 13:48:00,3
2019-02-27 13:50:00,1
2019-02-27 13:51:00,3
2019-02-27 13:53:00,2
2019-02-27 13:56:00,1
2019-02-27 13:58:00,1
2019-02-27 14:01:00,2
2019-02-27 14:03:00,1
2019-02-27 14:05:00,1
2019-02-27 14:07:00,3
2019-02-27 14:09:00,1
2019-02-27 14:10:00,1
2019-02-27 14:12:00,1
2019-02-27 14:14:00,1
2019-02-27 14:15:00,2
2019-02-27 14:16:00,5
2019-02-27 14:18:00,1
2019-02-27 14:19:00,7
2019-02-27 14:20:00,4
2019-02-27 14:53:00,1
2019-02-27 15:00:00,1
2019-02-27 16:53:00,1
2019-02-27 17:56:00,2
2019-02-27 18:14:00,1
2019-02-27 18:51:00,1
2019-02-27 21:46:00,1
2019-02-27 23:33:00,1
2019-02-27 23:36:00,1
2019-02-27 23:57:00,1
