20,"SELECT TOP #  s.plate,s.mjd,s.fiberid,s.z,s.zErr,s.zWarning,s.class,p.run,p.rerun,p.camCol,p.field,p.obj,cast(str(p.ra,#,#) as float) as ra,cast(str(p.[dec],#,#) as float) as dec,p.r,p.u,p.g,p.i,p.z  FROM ..SpecObj as s  JOIN ..Galaxy AS p ON s.bestObjID = p.objID  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = # AND (s.class = &&&)"
2019-02-27 23:16:00,1
2019-02-27 23:18:00,1
2019-02-27 23:20:00,1
2019-02-27 23:21:00,3
2019-02-27 23:23:00,2
2019-02-27 23:24:00,1
2019-02-27 23:26:00,1
2019-02-27 23:29:00,2
2019-02-27 23:30:00,1
2019-02-27 23:34:00,1
2019-02-27 23:35:00,1
2019-02-27 23:36:00,2
2019-02-27 23:37:00,1
2019-02-27 23:41:00,1
2019-02-27 23:47:00,1
