84,select objid from photoobj where photoobj.dec between -.# and -.# and photoobj.ra between # and #
2019-02-27 01:02:00,1
2019-02-27 01:14:00,2
2019-02-27 01:25:00,4
2019-02-27 01:27:00,10
2019-02-27 01:28:00,1
2019-02-27 01:29:00,2
2019-02-27 01:30:00,2
2019-02-27 04:28:00,3
2019-02-27 04:29:00,2
2019-02-27 06:13:00,1
2019-02-27 06:34:00,2
2019-02-27 09:58:00,4
2019-02-27 09:59:00,6
2019-02-27 10:00:00,4
2019-02-27 10:01:00,5
2019-02-27 10:02:00,6
2019-02-27 10:06:00,7
2019-02-27 10:07:00,7
2019-02-27 11:22:00,1
2019-02-27 14:12:00,3
2019-02-27 14:17:00,2
2019-02-27 14:18:00,1
2019-02-27 14:33:00,1
2019-02-27 14:36:00,1
2019-02-27 14:38:00,1
2019-02-27 21:19:00,4
2019-02-27 21:20:00,1
