2766,select apstar_id from apogeestar where apogeestar.dec between # and # and apogeestar.ra between # and #
2019-02-27 00:03:00,5
2019-02-27 00:04:00,1
2019-02-27 00:05:00,2
2019-02-27 00:13:00,1
2019-02-27 00:14:00,1
2019-02-27 00:16:00,1
2019-02-27 00:37:00,2
2019-02-27 00:43:00,1
2019-02-27 00:44:00,3
2019-02-27 01:00:00,8
2019-02-27 01:01:00,9
2019-02-27 01:02:00,21
2019-02-27 01:03:00,1
2019-02-27 01:04:00,1
2019-02-27 01:10:00,1
2019-02-27 01:25:00,4
2019-02-27 01:26:00,13
2019-02-27 01:27:00,38
2019-02-27 01:28:00,20
2019-02-27 01:29:00,26
2019-02-27 01:30:00,21
2019-02-27 01:37:00,3
2019-02-27 02:04:00,1
2019-02-27 02:16:00,5
2019-02-27 02:20:00,2
2019-02-27 02:21:00,8
2019-02-27 02:22:00,12
2019-02-27 02:30:00,8
2019-02-27 02:31:00,1
2019-02-27 02:39:00,1
2019-02-27 02:51:00,1
2019-02-27 03:07:00,34
2019-02-27 03:08:00,5
2019-02-27 03:09:00,3
2019-02-27 03:17:00,5
2019-02-27 03:20:00,3
2019-02-27 03:21:00,6
2019-02-27 03:22:00,66
2019-02-27 03:37:00,3
2019-02-27 03:38:00,11
2019-02-27 03:39:00,6
2019-02-27 03:51:00,4
2019-02-27 03:52:00,8
2019-02-27 03:53:00,9
2019-02-27 03:54:00,2
2019-02-27 04:03:00,4
2019-02-27 04:04:00,12
2019-02-27 04:05:00,9
2019-02-27 04:21:00,2
2019-02-27 04:22:00,2
2019-02-27 04:25:00,4
2019-02-27 04:26:00,10
2019-02-27 04:27:00,8
2019-02-27 04:28:00,47
2019-02-27 04:29:00,38
2019-02-27 04:35:00,3
2019-02-27 04:36:00,1
2019-02-27 04:37:00,7
2019-02-27 04:38:00,1
2019-02-27 04:42:00,5
2019-02-27 04:48:00,2
2019-02-27 04:53:00,3
2019-02-27 04:59:00,22
2019-02-27 05:18:00,5
2019-02-27 05:21:00,2
2019-02-27 05:22:00,11
2019-02-27 05:23:00,1
2019-02-27 05:41:00,2
2019-02-27 05:45:00,3
2019-02-27 05:48:00,6
2019-02-27 05:49:00,1
2019-02-27 05:50:00,1
2019-02-27 06:07:00,2
2019-02-27 06:09:00,1
2019-02-27 06:10:00,6
2019-02-27 06:11:00,16
2019-02-27 06:12:00,22
2019-02-27 06:13:00,45
2019-02-27 06:25:00,3
2019-02-27 06:26:00,24
2019-02-27 06:27:00,51
2019-02-27 06:28:00,18
2019-02-27 06:29:00,23
2019-02-27 06:34:00,4
2019-02-27 06:35:00,16
2019-02-27 06:36:00,3
2019-02-27 06:43:00,5
2019-02-27 06:44:00,4
2019-02-27 06:45:00,2
2019-02-27 06:47:00,5
2019-02-27 06:48:00,6
2019-02-27 06:49:00,5
2019-02-27 06:50:00,2
2019-02-27 09:49:00,4
2019-02-27 09:58:00,47
2019-02-27 09:59:00,74
2019-02-27 10:00:00,72
2019-02-27 10:01:00,8
2019-02-27 10:03:00,1
2019-02-27 10:04:00,9
2019-02-27 10:05:00,4
2019-02-27 10:06:00,43
2019-02-27 10:07:00,71
2019-02-27 10:08:00,10
2019-02-27 10:18:00,5
2019-02-27 10:20:00,6
2019-02-27 10:21:00,9
2019-02-27 10:22:00,6
2019-02-27 10:23:00,5
2019-02-27 10:24:00,15
2019-02-27 10:25:00,8
2019-02-27 10:26:00,17
2019-02-27 10:27:00,5
2019-02-27 10:28:00,2
2019-02-27 10:29:00,2
2019-02-27 10:30:00,6
2019-02-27 10:31:00,9
2019-02-27 10:32:00,10
2019-02-27 10:33:00,9
2019-02-27 10:34:00,6
2019-02-27 10:35:00,3
2019-02-27 10:45:00,6
2019-02-27 10:46:00,12
2019-02-27 10:47:00,2
2019-02-27 10:48:00,13
2019-02-27 10:49:00,9
2019-02-27 10:50:00,7
2019-02-27 10:52:00,2
2019-02-27 10:54:00,4
2019-02-27 10:55:00,18
2019-02-27 10:56:00,22
2019-02-27 10:57:00,17
2019-02-27 10:58:00,15
2019-02-27 10:59:00,12
2019-02-27 11:00:00,9
2019-02-27 11:04:00,10
2019-02-27 11:05:00,5
2019-02-27 11:06:00,2
2019-02-27 11:07:00,5
2019-02-27 11:08:00,6
2019-02-27 11:09:00,18
2019-02-27 11:10:00,17
2019-02-27 11:11:00,4
2019-02-27 11:12:00,6
2019-02-27 11:13:00,10
2019-02-27 11:14:00,2
2019-02-27 11:15:00,2
2019-02-27 11:16:00,2
2019-02-27 11:17:00,2
2019-02-27 11:18:00,2
2019-02-27 11:20:00,2
2019-02-27 11:21:00,30
2019-02-27 11:22:00,117
2019-02-27 11:23:00,9
2019-02-27 11:24:00,1
2019-02-27 11:25:00,10
2019-02-27 11:26:00,13
2019-02-27 11:27:00,17
2019-02-27 11:28:00,22
2019-02-27 11:29:00,14
2019-02-27 11:30:00,8
2019-02-27 11:31:00,5
2019-02-27 11:32:00,3
2019-02-27 11:33:00,9
2019-02-27 11:34:00,14
2019-02-27 11:35:00,5
2019-02-27 11:36:00,9
2019-02-27 11:37:00,10
2019-02-27 11:38:00,6
2019-02-27 11:39:00,16
2019-02-27 11:40:00,14
2019-02-27 11:41:00,17
2019-02-27 11:42:00,4
2019-02-27 11:43:00,2
2019-02-27 11:44:00,8
2019-02-27 11:45:00,9
2019-02-27 11:46:00,16
2019-02-27 11:47:00,14
2019-02-27 11:48:00,3
2019-02-27 11:49:00,14
2019-02-27 11:50:00,10
2019-02-27 11:51:00,18
2019-02-27 11:52:00,19
2019-02-27 11:53:00,6
2019-02-27 12:09:00,1
2019-02-27 12:11:00,2
2019-02-27 12:13:00,1
2019-02-27 12:14:00,2
2019-02-27 12:15:00,12
2019-02-27 12:16:00,5
2019-02-27 12:17:00,13
2019-02-27 12:18:00,9
2019-02-27 12:19:00,8
2019-02-27 12:20:00,16
2019-02-27 12:21:00,11
2019-02-27 12:22:00,3
2019-02-27 12:23:00,8
2019-02-27 12:24:00,14
2019-02-27 12:26:00,3
2019-02-27 12:27:00,8
2019-02-27 12:28:00,12
2019-02-27 12:29:00,10
2019-02-27 12:30:00,5
2019-02-27 12:31:00,11
2019-02-27 12:38:00,3
2019-02-27 12:39:00,9
2019-02-27 12:46:00,2
2019-02-27 12:50:00,2
2019-02-27 12:52:00,3
2019-02-27 12:53:00,18
2019-02-27 12:59:00,5
2019-02-27 13:00:00,1
2019-02-27 13:04:00,2
2019-02-27 13:05:00,16
2019-02-27 13:06:00,2
2019-02-27 13:13:00,6
2019-02-27 13:14:00,12
2019-02-27 13:15:00,8
2019-02-27 13:16:00,10
2019-02-27 13:17:00,3
2019-02-27 13:18:00,7
2019-02-27 13:19:00,12
2019-02-27 13:20:00,6
2019-02-27 13:21:00,7
2019-02-27 13:22:00,6
2019-02-27 13:23:00,5
2019-02-27 13:24:00,6
2019-02-27 13:25:00,12
2019-02-27 13:26:00,3
2019-02-27 13:27:00,8
2019-02-27 13:28:00,11
2019-02-27 13:29:00,9
2019-02-27 13:30:00,12
2019-02-27 13:31:00,17
2019-02-27 13:32:00,7
2019-02-27 13:33:00,14
2019-02-27 13:34:00,4
2019-02-27 13:35:00,20
2019-02-27 13:36:00,11
2019-02-27 13:37:00,10
2019-02-27 13:38:00,12
2019-02-27 13:39:00,4
2019-02-27 13:40:00,1
2019-02-27 13:43:00,1
2019-02-27 13:45:00,10
2019-02-27 13:46:00,7
2019-02-27 13:47:00,4
2019-02-27 13:48:00,1
2019-02-27 13:49:00,2
2019-02-27 13:51:00,2
2019-02-27 13:52:00,8
2019-02-27 13:53:00,5
2019-02-27 13:54:00,3
2019-02-27 13:55:00,4
2019-02-27 13:56:00,5
2019-02-27 13:57:00,7
2019-02-27 13:58:00,7
2019-02-27 13:59:00,12
2019-02-27 14:00:00,6
2019-02-27 14:01:00,8
2019-02-27 14:02:00,7
2019-02-27 14:03:00,2
2019-02-27 14:04:00,1
2019-02-27 14:05:00,10
2019-02-27 14:06:00,8
2019-02-27 14:07:00,10
2019-02-27 14:08:00,12
2019-02-27 14:09:00,7
2019-02-27 14:10:00,11
2019-02-27 14:11:00,2
2019-02-27 14:12:00,5
2019-02-27 14:13:00,15
2019-02-27 14:14:00,1
2019-02-27 14:17:00,8
2019-02-27 14:19:00,1
2019-02-27 14:21:00,2
2019-02-27 14:24:00,3
2019-02-27 14:33:00,2
2019-02-27 14:35:00,3
2019-02-27 14:36:00,6
2019-02-27 14:37:00,8
2019-02-27 14:38:00,13
2019-02-27 14:40:00,1
2019-02-27 21:18:00,1
2019-02-27 21:19:00,22
2019-02-27 21:20:00,8
2019-02-27 21:21:00,2
