1041,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName=&&& order by [indexMapId]"
2019-02-27 00:18:00,1
2019-02-27 00:19:00,1
2019-02-27 00:20:00,1
2019-02-27 00:22:00,1
2019-02-27 00:23:00,1
2019-02-27 00:34:00,2
2019-02-27 03:40:00,42
2019-02-27 04:48:00,5
2019-02-27 04:49:00,3
2019-02-27 05:26:00,1
2019-02-27 05:44:00,18
2019-02-27 05:49:00,42
2019-02-27 07:05:00,42
2019-02-27 10:36:00,42
2019-02-27 12:45:00,42
2019-02-27 13:05:00,5
2019-02-27 13:06:00,16
2019-02-27 13:07:00,9
2019-02-27 13:08:00,16
2019-02-27 13:09:00,10
2019-02-27 13:10:00,18
2019-02-27 13:11:00,10
2019-02-27 13:12:00,6
2019-02-27 13:42:00,12
2019-02-27 13:43:00,22
2019-02-27 13:44:00,19
2019-02-27 13:45:00,20
2019-02-27 13:46:00,17
2019-02-27 16:14:00,42
2019-02-27 17:21:00,1
2019-02-27 17:50:00,42
2019-02-27 17:52:00,18
2019-02-27 18:13:00,18
2019-02-27 18:19:00,1
2019-02-27 18:34:00,18
2019-02-27 19:03:00,42
2019-02-27 19:07:00,59
2019-02-27 19:08:00,31
2019-02-27 19:24:00,42
2019-02-27 19:27:00,42
2019-02-27 20:10:00,1
2019-02-27 21:03:00,84
2019-02-27 21:18:00,42
2019-02-27 21:20:00,1
2019-02-27 21:39:00,1
2019-02-27 22:39:00,6
2019-02-27 22:40:00,17
2019-02-27 22:41:00,20
2019-02-27 22:42:00,21
2019-02-27 22:43:00,16
2019-02-27 22:44:00,10
2019-02-27 23:00:00,42
