23,"SELECT TOP # objID, ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, clean FROM StarTag WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND modelMag_r BETWEEN # AND # AND clean = #"
2019-02-27 00:02:00,1
2019-02-27 00:15:00,1
2019-02-27 00:27:00,1
2019-02-27 00:39:00,1
2019-02-27 00:50:00,1
2019-02-27 01:01:00,1
2019-02-27 01:12:00,1
2019-02-27 01:24:00,1
2019-02-27 01:27:00,2
2019-02-27 01:35:00,1
2019-02-27 01:41:00,1
2019-02-27 21:56:00,1
2019-02-27 22:09:00,1
2019-02-27 22:20:00,1
2019-02-27 22:31:00,1
2019-02-27 22:43:00,1
2019-02-27 22:54:00,1
2019-02-27 23:07:00,1
2019-02-27 23:18:00,1
2019-02-27 23:29:00,1
2019-02-27 23:40:00,1
2019-02-27 23:51:00,1
