219,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between -.# and .#
2019-02-27 02:16:00,48
2019-02-27 02:17:00,54
2019-02-27 02:18:00,14
2019-02-27 02:19:00,68
2019-02-27 02:20:00,21
2019-02-27 13:36:00,4
2019-02-27 13:37:00,3
2019-02-27 13:53:00,7
