157,"SELECT u.up_name as [name],     &&& + cast(x.objId as varchar(#)) + &&&+ cast(x.objId as varchar(#)) + &&& as objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field,    dbo.fPhotoTypeN(p.type) as type,    p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z  FROM #upload u       JOIN #x x ON x.up_id = u.up_id       JOIN PhotoTag p ON p.objID = x.objID  ORDER BY x.up_id"
2019-02-27 03:02:00,1
2019-02-27 03:04:00,1
2019-02-27 03:05:00,1
2019-02-27 03:08:00,1
2019-02-27 03:11:00,1
2019-02-27 03:12:00,1
2019-02-27 03:16:00,1
2019-02-27 03:17:00,1
2019-02-27 03:18:00,2
2019-02-27 03:20:00,1
2019-02-27 03:21:00,1
2019-02-27 03:23:00,1
2019-02-27 03:24:00,1
2019-02-27 03:25:00,1
2019-02-27 03:27:00,1
2019-02-27 03:30:00,1
2019-02-27 03:31:00,1
2019-02-27 03:32:00,1
2019-02-27 03:34:00,1
2019-02-27 03:35:00,1
2019-02-27 03:36:00,1
2019-02-27 03:37:00,1
2019-02-27 03:38:00,1
2019-02-27 03:42:00,1
2019-02-27 03:43:00,1
2019-02-27 03:44:00,1
2019-02-27 03:45:00,1
2019-02-27 03:48:00,1
2019-02-27 03:51:00,1
2019-02-27 03:57:00,1
2019-02-27 03:58:00,1
2019-02-27 03:59:00,1
2019-02-27 04:00:00,1
2019-02-27 04:02:00,1
2019-02-27 04:03:00,1
2019-02-27 04:05:00,1
2019-02-27 04:06:00,1
2019-02-27 04:07:00,1
2019-02-27 04:08:00,1
2019-02-27 04:09:00,1
2019-02-27 04:10:00,1
2019-02-27 04:12:00,2
2019-02-27 04:13:00,1
2019-02-27 13:47:00,1
2019-02-27 13:49:00,1
2019-02-27 13:51:00,1
2019-02-27 13:52:00,1
2019-02-27 13:53:00,1
2019-02-27 13:54:00,1
2019-02-27 13:55:00,1
2019-02-27 13:57:00,1
2019-02-27 13:58:00,1
2019-02-27 14:05:00,1
2019-02-27 14:06:00,1
2019-02-27 14:07:00,2
2019-02-27 14:08:00,1
2019-02-27 14:09:00,2
2019-02-27 14:11:00,2
2019-02-27 14:12:00,1
2019-02-27 14:14:00,1
2019-02-27 14:16:00,1
2019-02-27 14:17:00,1
2019-02-27 14:19:00,1
2019-02-27 14:20:00,1
2019-02-27 14:21:00,1
2019-02-27 14:22:00,1
2019-02-27 14:23:00,1
2019-02-27 14:24:00,1
2019-02-27 14:26:00,1
2019-02-27 14:27:00,1
2019-02-27 14:29:00,1
2019-02-27 14:30:00,1
2019-02-27 14:32:00,1
2019-02-27 14:33:00,1
2019-02-27 14:34:00,1
2019-02-27 14:35:00,1
2019-02-27 14:36:00,1
2019-02-27 14:37:00,1
2019-02-27 14:38:00,1
2019-02-27 14:40:00,1
2019-02-27 14:41:00,1
2019-02-27 14:44:00,1
2019-02-27 14:46:00,1
2019-02-27 14:48:00,1
2019-02-27 14:49:00,1
2019-02-27 14:51:00,2
2019-02-27 14:53:00,1
2019-02-27 14:54:00,1
2019-02-27 14:55:00,1
2019-02-27 14:57:00,1
2019-02-27 14:58:00,1
2019-02-27 15:00:00,1
2019-02-27 15:01:00,2
2019-02-27 15:03:00,2
2019-02-27 15:04:00,1
2019-02-27 15:05:00,1
2019-02-27 15:06:00,1
2019-02-27 15:08:00,2
2019-02-27 15:09:00,1
2019-02-27 15:10:00,1
2019-02-27 15:11:00,1
2019-02-27 15:13:00,1
2019-02-27 15:14:00,1
2019-02-27 15:15:00,1
2019-02-27 15:16:00,1
2019-02-27 15:17:00,1
2019-02-27 15:18:00,2
2019-02-27 15:19:00,2
2019-02-27 15:20:00,2
2019-02-27 15:21:00,1
2019-02-27 15:22:00,1
2019-02-27 15:23:00,2
2019-02-27 15:24:00,1
2019-02-27 15:25:00,1
2019-02-27 15:26:00,1
2019-02-27 15:27:00,1
2019-02-27 15:28:00,2
2019-02-27 15:29:00,1
2019-02-27 15:30:00,1
2019-02-27 15:31:00,1
2019-02-27 15:32:00,1
2019-02-27 15:33:00,1
2019-02-27 15:34:00,2
2019-02-27 15:35:00,1
2019-02-27 15:36:00,2
2019-02-27 15:37:00,1
2019-02-27 15:38:00,1
2019-02-27 15:40:00,2
2019-02-27 15:41:00,1
2019-02-27 15:43:00,2
2019-02-27 15:45:00,1
2019-02-27 15:46:00,1
2019-02-27 15:47:00,1
2019-02-27 17:11:00,2
2019-02-27 17:12:00,1
2019-02-27 17:20:00,1
2019-02-27 17:46:00,1
2019-02-27 17:47:00,1
