4,"SELECT TOP # p.ra,p.dec,p.petroR5#_r FROM BESTDR7..PhotoObj AS p 	JOIN #x AS x ON x.objID=p.objID JOIN #upload AS u ON u.up_id = x.up_id  WHERE  ( p.type = # OR p.type = #) ORDER BY x.up_id"
2019-02-27 09:28:00,1
2019-02-27 09:39:00,1
2019-02-27 09:46:00,2
