456,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-02-27 08:45:00,9
2019-02-27 08:50:00,6
2019-02-27 10:35:00,7
2019-02-27 13:35:00,5
2019-02-27 13:40:00,5
2019-02-27 14:05:00,2
2019-02-27 14:10:00,1
2019-02-27 15:19:00,1
2019-02-27 15:20:00,9
2019-02-27 15:21:00,1
2019-02-27 15:25:00,7
2019-02-27 15:27:00,1
2019-02-27 15:29:00,1
2019-02-27 15:30:00,10
2019-02-27 15:31:00,21
2019-02-27 15:33:00,1
2019-02-27 15:35:00,19
2019-02-27 15:40:00,11
2019-02-27 15:45:00,8
2019-02-27 16:01:00,1
2019-02-27 16:04:00,1
2019-02-27 16:05:00,29
2019-02-27 16:06:00,20
2019-02-27 16:07:00,34
2019-02-27 16:08:00,6
2019-02-27 16:09:00,1
2019-02-27 16:10:00,28
2019-02-27 16:11:00,30
2019-02-27 16:12:00,1
2019-02-27 16:13:00,1
2019-02-27 16:15:00,28
2019-02-27 16:16:00,8
2019-02-27 16:25:00,27
2019-02-27 16:26:00,1
2019-02-27 16:30:00,22
2019-02-27 16:35:00,10
2019-02-27 16:40:00,2
2019-02-27 16:45:00,27
2019-02-27 16:46:00,13
2019-02-27 16:50:00,28
2019-02-27 16:51:00,4
2019-02-27 18:35:00,2
2019-02-27 18:40:00,1
2019-02-27 19:05:00,2
2019-02-27 19:10:00,1
2019-02-27 21:15:00,1
2019-02-27 21:35:00,1
2019-02-27 21:40:00,1
