62,"SELECT up_id, dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) as SpecobjId   FROM #upload WHERE dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&,&&&, @log=#, @filter=#"
2019-02-27 13:48:00,2
2019-02-27 13:49:00,3
2019-02-27 13:50:00,3
2019-02-27 13:51:00,5
2019-02-27 13:52:00,3
2019-02-27 13:53:00,3
2019-02-27 13:54:00,5
2019-02-27 13:55:00,4
2019-02-27 13:56:00,5
2019-02-27 13:57:00,3
2019-02-27 13:58:00,4
2019-02-27 13:59:00,4
2019-02-27 14:00:00,1
2019-02-27 14:01:00,6
2019-02-27 14:02:00,4
2019-02-27 14:03:00,5
2019-02-27 14:04:00,1
2019-02-27 17:27:00,1
