20190,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between # and #
2019-02-27 00:00:00,35
2019-02-27 00:02:00,4
2019-02-27 00:03:00,105
2019-02-27 00:04:00,17
2019-02-27 00:05:00,12
2019-02-27 00:06:00,9
2019-02-27 00:08:00,11
2019-02-27 00:10:00,4
2019-02-27 00:11:00,3
2019-02-27 00:12:00,3
2019-02-27 00:13:00,10
2019-02-27 00:14:00,5
2019-02-27 00:15:00,4
2019-02-27 00:16:00,6
2019-02-27 00:17:00,4
2019-02-27 00:18:00,12
2019-02-27 00:19:00,5
2019-02-27 00:20:00,4
2019-02-27 00:25:00,6
2019-02-27 00:26:00,4
2019-02-27 00:27:00,4
2019-02-27 00:28:00,7
2019-02-27 00:29:00,11
2019-02-27 00:30:00,3
2019-02-27 00:31:00,4
2019-02-27 00:33:00,2
2019-02-27 00:34:00,8
2019-02-27 00:35:00,6
2019-02-27 00:36:00,20
2019-02-27 00:37:00,9
2019-02-27 00:38:00,14
2019-02-27 00:39:00,7
2019-02-27 00:43:00,14
2019-02-27 00:44:00,16
2019-02-27 00:45:00,8
2019-02-27 00:46:00,5
2019-02-27 00:47:00,3
2019-02-27 00:48:00,10
2019-02-27 00:49:00,2
2019-02-27 00:50:00,9
2019-02-27 00:51:00,9
2019-02-27 00:52:00,6
2019-02-27 00:53:00,4
2019-02-27 00:54:00,3
2019-02-27 00:55:00,10
2019-02-27 00:56:00,3
2019-02-27 00:57:00,9
2019-02-27 00:58:00,5
2019-02-27 00:59:00,3
2019-02-27 01:00:00,41
2019-02-27 01:01:00,43
2019-02-27 01:02:00,44
2019-02-27 01:03:00,28
2019-02-27 01:04:00,8
2019-02-27 01:05:00,4
2019-02-27 01:06:00,24
2019-02-27 01:07:00,3
2019-02-27 01:08:00,11
2019-02-27 01:09:00,3
2019-02-27 01:11:00,5
2019-02-27 01:12:00,1
2019-02-27 01:14:00,11
2019-02-27 01:16:00,6
2019-02-27 01:17:00,4
2019-02-27 01:18:00,2
2019-02-27 01:19:00,3
2019-02-27 01:21:00,4
2019-02-27 01:22:00,2
2019-02-27 01:23:00,2
2019-02-27 01:24:00,1
2019-02-27 01:25:00,11
2019-02-27 01:26:00,35
2019-02-27 01:27:00,39
2019-02-27 01:28:00,26
2019-02-27 01:29:00,27
2019-02-27 01:30:00,104
2019-02-27 01:33:00,8
2019-02-27 01:34:00,11
2019-02-27 01:35:00,8
2019-02-27 01:36:00,11
2019-02-27 01:37:00,19
2019-02-27 01:38:00,11
2019-02-27 01:39:00,11
2019-02-27 01:40:00,13
2019-02-27 01:41:00,27
2019-02-27 01:42:00,18
2019-02-27 01:43:00,32
2019-02-27 01:44:00,35
2019-02-27 01:45:00,35
2019-02-27 01:46:00,20
2019-02-27 01:47:00,9
2019-02-27 01:48:00,9
2019-02-27 01:49:00,12
2019-02-27 01:50:00,11
2019-02-27 01:51:00,11
2019-02-27 01:52:00,8
2019-02-27 01:53:00,9
2019-02-27 01:54:00,7
2019-02-27 01:55:00,9
2019-02-27 01:56:00,7
2019-02-27 01:57:00,11
2019-02-27 01:58:00,8
2019-02-27 01:59:00,8
2019-02-27 02:00:00,9
2019-02-27 02:01:00,10
2019-02-27 02:02:00,7
2019-02-27 02:03:00,33
2019-02-27 02:04:00,30
2019-02-27 02:05:00,40
2019-02-27 02:06:00,10
2019-02-27 02:07:00,14
2019-02-27 02:08:00,9
2019-02-27 02:09:00,34
2019-02-27 02:10:00,42
2019-02-27 02:11:00,32
2019-02-27 02:12:00,36
2019-02-27 02:13:00,43
2019-02-27 02:14:00,48
2019-02-27 02:15:00,208
2019-02-27 02:16:00,160
2019-02-27 02:17:00,58
2019-02-27 02:18:00,80
2019-02-27 02:19:00,64
2019-02-27 02:20:00,34
2019-02-27 02:21:00,55
2019-02-27 02:22:00,72
2019-02-27 02:25:00,1
2019-02-27 02:30:00,21
2019-02-27 02:31:00,14
2019-02-27 02:39:00,1
2019-02-27 02:43:00,1
2019-02-27 02:47:00,1
2019-02-27 02:51:00,4
2019-02-27 02:58:00,1
2019-02-27 03:07:00,156
2019-02-27 03:08:00,31
2019-02-27 03:09:00,12
2019-02-27 03:12:00,1
2019-02-27 03:17:00,36
2019-02-27 03:18:00,49
2019-02-27 03:19:00,133
2019-02-27 03:20:00,5
2019-02-27 03:21:00,19
2019-02-27 03:22:00,31
2019-02-27 03:23:00,2
2019-02-27 03:38:00,28
2019-02-27 03:39:00,9
2019-02-27 03:41:00,1
2019-02-27 03:51:00,11
2019-02-27 03:52:00,33
2019-02-27 03:53:00,85
2019-02-27 03:54:00,283
2019-02-27 03:55:00,45
2019-02-27 03:56:00,28
2019-02-27 03:57:00,30
2019-02-27 03:58:00,34
2019-02-27 03:59:00,29
2019-02-27 04:00:00,33
2019-02-27 04:01:00,31
2019-02-27 04:02:00,35
2019-02-27 04:03:00,32
2019-02-27 04:04:00,41
2019-02-27 04:05:00,22
2019-02-27 04:22:00,1
2019-02-27 04:26:00,19
2019-02-27 04:27:00,13
2019-02-27 04:28:00,27
2019-02-27 04:29:00,52
2019-02-27 04:35:00,25
2019-02-27 04:36:00,20
2019-02-27 04:37:00,47
2019-02-27 04:42:00,71
2019-02-27 04:48:00,65
2019-02-27 04:53:00,66
2019-02-27 04:59:00,477
2019-02-27 05:18:00,2
2019-02-27 05:22:00,30
2019-02-27 05:23:00,4
2019-02-27 05:39:00,1
2019-02-27 05:41:00,1
2019-02-27 05:48:00,40
2019-02-27 05:49:00,42
2019-02-27 05:50:00,38
2019-02-27 05:51:00,36
2019-02-27 05:52:00,29
2019-02-27 05:53:00,33
2019-02-27 05:54:00,30
2019-02-27 05:55:00,38
2019-02-27 05:56:00,35
2019-02-27 05:57:00,30
2019-02-27 05:58:00,31
2019-02-27 05:59:00,28
2019-02-27 06:00:00,35
2019-02-27 06:01:00,36
2019-02-27 06:02:00,32
2019-02-27 06:03:00,32
2019-02-27 06:04:00,29
2019-02-27 06:05:00,25
2019-02-27 06:06:00,33
2019-02-27 06:07:00,33
2019-02-27 06:08:00,31
2019-02-27 06:09:00,43
2019-02-27 06:10:00,38
2019-02-27 06:11:00,214
2019-02-27 06:12:00,232
2019-02-27 06:13:00,697
2019-02-27 06:14:00,89
2019-02-27 06:15:00,22
2019-02-27 06:16:00,23
2019-02-27 06:17:00,27
2019-02-27 06:18:00,24
2019-02-27 06:19:00,24
2019-02-27 06:20:00,25
2019-02-27 06:21:00,35
2019-02-27 06:22:00,28
2019-02-27 06:23:00,25
2019-02-27 06:24:00,23
2019-02-27 06:25:00,28
2019-02-27 06:26:00,217
2019-02-27 06:27:00,117
2019-02-27 06:28:00,71
2019-02-27 06:29:00,34
2019-02-27 06:34:00,4
2019-02-27 06:35:00,64
2019-02-27 06:36:00,62
2019-02-27 06:37:00,52
2019-02-27 06:38:00,35
2019-02-27 06:39:00,32
2019-02-27 06:40:00,27
2019-02-27 06:41:00,31
2019-02-27 06:42:00,36
2019-02-27 06:43:00,47
2019-02-27 06:44:00,31
2019-02-27 06:45:00,28
2019-02-27 06:46:00,16
2019-02-27 06:47:00,33
2019-02-27 06:48:00,43
2019-02-27 06:49:00,65
2019-02-27 06:50:00,17
2019-02-27 06:54:00,2
2019-02-27 06:55:00,1
2019-02-27 06:56:00,3
2019-02-27 06:59:00,1
2019-02-27 07:00:00,2
2019-02-27 07:04:00,1
2019-02-27 07:05:00,1
2019-02-27 07:07:00,1
2019-02-27 07:12:00,2
2019-02-27 07:17:00,1
2019-02-27 07:19:00,1
2019-02-27 07:21:00,2
2019-02-27 07:22:00,1
2019-02-27 07:25:00,2
2019-02-27 07:27:00,6
2019-02-27 07:32:00,1
2019-02-27 07:41:00,1
2019-02-27 07:42:00,1
2019-02-27 07:43:00,1
2019-02-27 07:46:00,10
2019-02-27 07:47:00,1
2019-02-27 07:48:00,1
2019-02-27 07:50:00,4
2019-02-27 07:52:00,2
2019-02-27 07:53:00,2
2019-02-27 07:54:00,1
2019-02-27 07:56:00,2
2019-02-27 07:57:00,1
2019-02-27 07:58:00,3
2019-02-27 08:00:00,4
2019-02-27 08:01:00,1
2019-02-27 08:03:00,2
2019-02-27 08:04:00,1
2019-02-27 08:05:00,1
