2,"SELECT Top #   g.ra,g.dec,   n.objid, n.distance,    o.ra AS ra_SDSS, o.dec AS dec_sdss, o.u, o.g, o.r, o.i, o.z, o.err_u, o.err_g, o.err_r, o.err_i, o.err_z -- INTO MyDB.get_all_objs_test -- Uncomment this if you want to store it in your DB FROM MyDB.TestCoords AS g  CROSS APPLY dbo.fGetNearbyObjAllEq(g.ra, g.dec, #) AS n  JOIN PhotoObj AS o ON n.objid=o.objid"
2019-02-27 12:41:00,1
2019-02-27 12:53:00,1
