103,select objid from photoprimary where photoprimary.dec between -.# and .# and photoprimary.ra between # and #
2019-02-27 00:00:00,4
2019-02-27 00:01:00,2
2019-02-27 00:02:00,1
2019-02-27 00:06:00,6
2019-02-27 00:07:00,1
2019-02-27 00:08:00,3
2019-02-27 00:09:00,1
2019-02-27 00:10:00,1
2019-02-27 00:12:00,1
2019-02-27 00:25:00,2
2019-02-27 00:26:00,2
2019-02-27 00:28:00,1
2019-02-27 00:29:00,1
2019-02-27 00:30:00,1
2019-02-27 00:31:00,2
2019-02-27 00:34:00,2
2019-02-27 00:35:00,1
2019-02-27 00:44:00,1
2019-02-27 00:45:00,7
2019-02-27 00:46:00,3
2019-02-27 00:48:00,1
2019-02-27 00:49:00,2
2019-02-27 00:50:00,3
2019-02-27 00:51:00,1
2019-02-27 00:52:00,2
2019-02-27 00:53:00,2
2019-02-27 00:54:00,1
2019-02-27 00:55:00,2
2019-02-27 00:56:00,1
2019-02-27 00:57:00,1
2019-02-27 00:58:00,1
2019-02-27 01:03:00,1
2019-02-27 01:04:00,1
2019-02-27 01:06:00,2
2019-02-27 01:07:00,2
2019-02-27 01:08:00,1
2019-02-27 04:04:00,1
2019-02-27 06:25:00,4
2019-02-27 06:26:00,2
2019-02-27 06:28:00,1
2019-02-27 06:29:00,1
2019-02-27 10:26:00,4
2019-02-27 10:27:00,1
2019-02-27 10:52:00,1
2019-02-27 10:53:00,1
2019-02-27 12:24:00,2
2019-02-27 13:35:00,6
2019-02-27 13:36:00,7
2019-02-27 14:27:00,1
2019-02-27 14:29:00,1
2019-02-27 14:31:00,1
2019-02-27 14:32:00,1
2019-02-27 14:33:00,1
