1486,select max(Id) from public.ncarey.FramePathProcessing where Processed = # and (goodMeltScore != # or fastBottomScore != # or fastTopScore != #))
2019-07-10 14:12:00,7
2019-07-10 14:13:00,1
2019-07-10 14:21:00,3
2019-07-10 14:22:00,14
2019-07-10 14:23:00,16
2019-07-10 14:24:00,15
2019-07-10 14:25:00,15
2019-07-10 14:26:00,15
2019-07-10 14:27:00,15
2019-07-10 14:28:00,15
2019-07-10 14:29:00,15
2019-07-10 14:30:00,15
2019-07-10 14:31:00,15
2019-07-10 14:32:00,15
2019-07-10 14:33:00,15
2019-07-10 14:34:00,15
2019-07-10 14:35:00,15
2019-07-10 14:36:00,15
2019-07-10 14:37:00,15
2019-07-10 14:38:00,15
2019-07-10 14:39:00,15
2019-07-10 14:40:00,15
2019-07-10 14:41:00,15
2019-07-10 14:42:00,15
2019-07-10 14:43:00,15
2019-07-10 14:44:00,15
2019-07-10 14:45:00,15
2019-07-10 14:46:00,15
2019-07-10 14:47:00,15
2019-07-10 14:48:00,15
2019-07-10 14:49:00,15
2019-07-10 14:50:00,15
2019-07-10 14:51:00,15
2019-07-10 14:52:00,15
2019-07-10 14:53:00,15
2019-07-10 14:54:00,15
2019-07-10 14:55:00,15
2019-07-10 14:56:00,15
2019-07-10 14:57:00,15
2019-07-10 14:58:00,15
2019-07-10 14:59:00,14
2019-07-10 15:00:00,15
2019-07-10 15:01:00,15
2019-07-10 15:02:00,15
2019-07-10 15:03:00,15
2019-07-10 15:04:00,15
2019-07-10 15:05:00,15
2019-07-10 15:06:00,15
2019-07-10 15:07:00,15
2019-07-10 15:08:00,15
2019-07-10 15:09:00,15
2019-07-10 15:10:00,15
2019-07-10 15:11:00,15
2019-07-10 15:12:00,15
2019-07-10 15:13:00,15
2019-07-10 15:14:00,15
2019-07-10 15:15:00,15
2019-07-10 15:16:00,15
2019-07-10 15:17:00,15
2019-07-10 15:18:00,15
2019-07-10 15:19:00,15
2019-07-10 15:20:00,15
2019-07-10 15:21:00,15
2019-07-10 15:22:00,15
2019-07-10 15:23:00,15
2019-07-10 15:24:00,15
2019-07-10 15:25:00,15
2019-07-10 15:26:00,15
2019-07-10 15:27:00,15
2019-07-10 15:28:00,15
2019-07-10 15:29:00,15
2019-07-10 15:30:00,15
2019-07-10 15:31:00,14
2019-07-10 15:32:00,15
2019-07-10 15:33:00,16
2019-07-10 15:34:00,15
2019-07-10 15:35:00,15
2019-07-10 15:36:00,15
2019-07-10 15:37:00,14
2019-07-10 15:38:00,15
2019-07-10 15:39:00,16
2019-07-10 15:40:00,15
2019-07-10 15:41:00,15
2019-07-10 15:42:00,15
2019-07-10 15:43:00,14
2019-07-10 15:44:00,16
2019-07-10 15:45:00,15
2019-07-10 15:46:00,15
2019-07-10 15:47:00,15
2019-07-10 15:48:00,15
2019-07-10 15:49:00,14
2019-07-10 15:50:00,15
2019-07-10 15:51:00,15
2019-07-10 15:52:00,16
2019-07-10 15:53:00,15
2019-07-10 15:54:00,15
2019-07-10 15:55:00,15
2019-07-10 15:56:00,15
2019-07-10 15:57:00,14
2019-07-10 15:58:00,16
2019-07-10 15:59:00,15
2019-07-10 16:00:00,6
