2364,"UPDATE FramePathProcessing                         SET processed = #, goodMeltScore = #, fastBottomScore = #, fastTopScore = #, processedPath = &&&, cropPath = &&&                         WHERE Path = &&&"
2019-07-10 14:11:00,4
2019-07-10 14:12:00,14
2019-07-10 14:13:00,24
2019-07-10 14:14:00,22
2019-07-10 14:15:00,24
2019-07-10 14:16:00,22
2019-07-10 14:17:00,24
2019-07-10 14:18:00,22
2019-07-10 14:19:00,12
2019-07-10 14:20:00,27
2019-07-10 14:21:00,26
2019-07-10 14:22:00,25
2019-07-10 14:23:00,14
2019-07-10 14:24:00,18
2019-07-10 14:25:00,29
2019-07-10 14:26:00,3
2019-07-10 14:27:00,22
2019-07-10 14:28:00,28
2019-07-10 14:29:00,29
2019-07-10 14:30:00,11
2019-07-10 14:41:00,20
2019-07-10 14:42:00,30
2019-07-10 14:43:00,19
2019-07-10 14:44:00,4
2019-07-10 14:45:00,28
2019-07-10 14:46:00,27
2019-07-10 14:47:00,29
2019-07-10 14:48:00,29
2019-07-10 14:49:00,26
2019-07-10 14:50:00,29
2019-07-10 14:51:00,28
2019-07-10 14:52:00,29
2019-07-10 14:53:00,28
2019-07-10 14:54:00,28
2019-07-10 14:55:00,28
2019-07-10 14:56:00,28
2019-07-10 14:57:00,28
2019-07-10 14:58:00,28
2019-07-10 14:59:00,28
2019-07-10 15:00:00,26
2019-07-10 15:01:00,29
2019-07-10 15:02:00,27
2019-07-10 15:03:00,29
2019-07-10 15:04:00,28
2019-07-10 15:05:00,29
2019-07-10 15:06:00,27
2019-07-10 15:07:00,28
2019-07-10 15:08:00,28
2019-07-10 15:09:00,28
2019-07-10 15:10:00,28
2019-07-10 15:11:00,28
2019-07-10 15:12:00,29
2019-07-10 15:13:00,28
2019-07-10 15:14:00,29
2019-07-10 15:15:00,29
2019-07-10 15:16:00,28
2019-07-10 15:17:00,28
2019-07-10 15:18:00,29
2019-07-10 15:19:00,28
2019-07-10 15:20:00,8
2019-07-10 15:21:00,5
2019-07-10 15:22:00,30
2019-07-10 15:23:00,29
2019-07-10 15:24:00,30
2019-07-10 15:25:00,29
2019-07-10 15:26:00,29
2019-07-10 15:27:00,22
2019-07-10 15:28:00,18
2019-07-10 15:29:00,28
2019-07-10 15:30:00,29
2019-07-10 15:31:00,29
2019-07-10 15:32:00,28
2019-07-10 15:33:00,27
2019-07-10 15:34:00,28
2019-07-10 15:35:00,28
2019-07-10 15:36:00,28
2019-07-10 15:37:00,28
2019-07-10 15:38:00,27
2019-07-10 15:39:00,29
2019-07-10 15:40:00,28
2019-07-10 15:41:00,27
2019-07-10 15:42:00,27
2019-07-10 15:43:00,27
2019-07-10 15:44:00,22
2019-07-10 15:45:00,22
2019-07-10 15:46:00,22
2019-07-10 15:47:00,6
2019-07-10 15:48:00,1
2019-07-10 15:49:00,28
2019-07-10 15:50:00,28
2019-07-10 15:51:00,28
2019-07-10 15:52:00,28
2019-07-10 15:53:00,28
2019-07-10 15:54:00,28
2019-07-10 15:55:00,27
2019-07-10 15:56:00,21
