16,"SELECT p.objId,p.ra,p.dec,p.petror9#_r, p.dered_u as u,         p.dered_g as g, p.dered_r as r, p.dered_i as i,         s.z, z.spiral, z.elliptical, z.uncertain FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid    JOIN zooSpec AS z ON z.objid = p.objid WHERE p.petror9#_r > #    and p.ra between # and #    and s.z between # and #    and p.g < #"
2019-07-10 00:11:00,1
2019-07-10 00:12:00,2
2019-07-10 00:13:00,1
2019-07-10 00:14:00,1
2019-07-10 00:18:00,1
2019-07-10 11:21:00,2
2019-07-10 11:33:00,2
2019-07-10 11:34:00,1
2019-07-10 12:47:00,1
2019-07-10 14:15:00,2
2019-07-10 14:16:00,1
2019-07-10 14:44:00,1
