11,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-07-10 06:06:00,1
2019-07-10 06:13:00,1
2019-07-10 06:14:00,1
2019-07-10 15:18:00,1
2019-07-10 15:35:00,1
2019-07-10 15:44:00,1
2019-07-10 15:45:00,1
2019-07-10 16:18:00,1
2019-07-10 16:26:00,1
2019-07-10 17:24:00,1
2019-07-10 19:00:00,1
