18,"select ra,dec, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i from star as s where ra between # and # and dec between #e-# and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < #"
2019-07-10 21:22:00,1
2019-07-10 21:24:00,1
2019-07-10 21:26:00,1
2019-07-10 21:28:00,1
2019-07-10 21:33:00,1
2019-07-10 21:34:00,2
2019-07-10 21:36:00,1
2019-07-10 21:38:00,1
2019-07-10 21:40:00,1
2019-07-10 21:43:00,1
2019-07-10 21:44:00,1
2019-07-10 21:45:00,1
2019-07-10 21:46:00,1
2019-07-10 21:47:00,1
2019-07-10 21:50:00,1
2019-07-10 21:52:00,2
