3,"SELECT s.specobjid, s.ra, s.dec, s.plate, s.mjd, s.fiberid, dbo.fIAUFromEq(s.ra, s.dec)  FROM #upload u  JOIN SpecObjAll s ON (s.plate=u.up_plate AND s.mjd=u.up_mjd AND s.fiberID=u.up_fiber) &&&#', @log=#, @filter=#"
2019-07-10 14:35:00,1
2019-07-10 14:37:00,1
2019-07-10 14:38:00,1
