68,select count(*) as thecount
2019-07-10 10:55:00,2
2019-07-10 10:56:00,1
2019-07-10 10:59:00,1
2019-07-10 11:04:00,2
2019-07-10 11:08:00,2
2019-07-10 11:12:00,2
2019-07-10 11:15:00,2
2019-07-10 11:20:00,1
2019-07-10 11:23:00,1
2019-07-10 11:27:00,1
2019-07-10 11:30:00,1
2019-07-10 11:33:00,1
2019-07-10 11:35:00,2
2019-07-10 11:36:00,1
2019-07-10 11:42:00,1
2019-07-10 11:44:00,1
2019-07-10 11:46:00,1
2019-07-10 11:48:00,3
2019-07-10 11:59:00,2
2019-07-10 12:03:00,3
2019-07-10 12:11:00,2
2019-07-10 12:12:00,1
2019-07-10 12:16:00,2
2019-07-10 12:19:00,2
2019-07-10 12:22:00,1
2019-07-10 12:23:00,1
2019-07-10 12:26:00,2
2019-07-10 12:30:00,1
2019-07-10 12:31:00,1
2019-07-10 12:36:00,2
2019-07-10 12:57:00,1
2019-07-10 12:59:00,1
2019-07-10 13:04:00,1
2019-07-10 13:05:00,1
2019-07-10 13:14:00,1
2019-07-10 13:24:00,1
2019-07-10 13:25:00,2
2019-07-10 13:29:00,1
2019-07-10 13:33:00,1
2019-07-10 13:36:00,1
2019-07-10 14:02:00,1
2019-07-10 14:18:00,1
2019-07-10 14:22:00,2
2019-07-10 14:50:00,2
2019-07-10 15:16:00,1
2019-07-10 15:26:00,1
2019-07-10 17:20:00,1
2019-07-10 17:52:00,1
2019-07-10 17:54:00,1
