1394,"select ra,dec, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < #"
2019-07-10 21:21:00,1
2019-07-10 21:22:00,3
2019-07-10 21:23:00,11
2019-07-10 21:24:00,12
2019-07-10 21:25:00,12
2019-07-10 21:26:00,14
2019-07-10 21:27:00,15
2019-07-10 21:28:00,17
2019-07-10 21:29:00,19
2019-07-10 21:30:00,18
2019-07-10 21:31:00,18
2019-07-10 21:32:00,18
2019-07-10 21:33:00,14
2019-07-10 21:34:00,14
2019-07-10 21:35:00,17
2019-07-10 21:36:00,16
2019-07-10 21:37:00,18
2019-07-10 21:38:00,15
2019-07-10 21:39:00,17
2019-07-10 21:40:00,15
2019-07-10 21:41:00,15
2019-07-10 21:42:00,15
2019-07-10 21:43:00,14
2019-07-10 21:44:00,14
2019-07-10 21:45:00,14
2019-07-10 21:46:00,14
2019-07-10 21:47:00,13
2019-07-10 21:48:00,14
2019-07-10 21:49:00,14
2019-07-10 21:50:00,11
2019-07-10 21:51:00,11
2019-07-10 21:52:00,4
2019-07-10 22:48:00,3
2019-07-10 22:49:00,9
2019-07-10 22:50:00,6
2019-07-10 22:51:00,10
2019-07-10 22:52:00,25
2019-07-10 22:53:00,29
2019-07-10 22:54:00,12
2019-07-10 22:55:00,23
2019-07-10 22:56:00,63
2019-07-10 22:57:00,65
2019-07-10 22:58:00,66
2019-07-10 22:59:00,35
2019-07-10 23:00:00,36
2019-07-10 23:01:00,26
2019-07-10 23:02:00,28
2019-07-10 23:03:00,29
2019-07-10 23:04:00,24
2019-07-10 23:05:00,13
2019-07-10 23:06:00,21
2019-07-10 23:07:00,27
2019-07-10 23:08:00,20
2019-07-10 23:09:00,23
2019-07-10 23:10:00,20
2019-07-10 23:11:00,28
2019-07-10 23:12:00,18
2019-07-10 23:13:00,13
2019-07-10 23:14:00,10
2019-07-10 23:15:00,15
2019-07-10 23:16:00,16
2019-07-10 23:17:00,8
2019-07-10 23:18:00,19
2019-07-10 23:19:00,39
2019-07-10 23:20:00,43
2019-07-10 23:21:00,43
2019-07-10 23:22:00,19
2019-07-10 23:23:00,46
2019-07-10 23:24:00,27
