51,"SELECT TOP # dbo.fIAUFromEq(p.ra,p.dec),p.ra,p.dec,p.modelmag_g,p.modelmag_r,p.modelmag_i FROM Galaxy as p WHERE p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-11-23 21:28:00,1
2019-11-23 21:31:00,2
2019-11-23 21:32:00,2
2019-11-23 21:37:00,5
2019-11-23 21:40:00,1
2019-11-23 21:41:00,1
2019-11-23 21:43:00,2
2019-11-23 21:44:00,2
2019-11-23 21:45:00,1
2019-11-23 21:47:00,2
2019-11-23 21:48:00,1
2019-11-23 21:53:00,1
2019-11-23 21:54:00,5
2019-11-23 21:55:00,5
2019-11-23 21:56:00,2
2019-11-23 21:57:00,5
2019-11-23 21:58:00,4
2019-11-23 21:59:00,1
2019-11-23 22:00:00,1
2019-11-23 22:12:00,4
2019-11-23 22:13:00,1
2019-11-23 22:14:00,1
2019-11-23 22:54:00,1
