1617,"SELECT DISTINCT p.objID, s.ra, s.dec, s.specObjID, s.sciencePrimary, s.run2d, s.instrument, s.plate, s.fiberID, s.mjd FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-11-23 00:00:00,16
2019-11-23 00:01:00,15
2019-11-23 00:02:00,18
2019-11-23 00:03:00,17
2019-11-23 00:04:00,16
2019-11-23 00:05:00,18
2019-11-23 00:06:00,17
2019-11-23 00:07:00,24
2019-11-23 00:08:00,30
2019-11-23 00:09:00,28
2019-11-23 00:10:00,15
2019-11-23 00:11:00,10
2019-11-23 00:12:00,16
2019-11-23 00:13:00,16
2019-11-23 00:14:00,12
2019-11-23 00:15:00,14
2019-11-23 00:16:00,11
2019-11-23 00:17:00,9
2019-11-23 00:18:00,14
2019-11-23 00:19:00,10
2019-11-23 00:20:00,16
2019-11-23 00:21:00,11
2019-11-23 00:22:00,10
2019-11-23 00:23:00,13
2019-11-23 00:24:00,10
2019-11-23 00:25:00,14
2019-11-23 00:26:00,13
2019-11-23 00:27:00,17
2019-11-23 00:28:00,16
2019-11-23 00:29:00,23
2019-11-23 00:30:00,15
2019-11-23 00:31:00,14
2019-11-23 00:32:00,14
2019-11-23 00:33:00,15
2019-11-23 00:34:00,10
2019-11-23 00:35:00,13
2019-11-23 00:36:00,11
2019-11-23 00:37:00,11
2019-11-23 00:38:00,12
2019-11-23 00:39:00,19
2019-11-23 00:40:00,13
2019-11-23 00:41:00,8
2019-11-23 00:42:00,20
2019-11-23 00:43:00,15
2019-11-23 00:44:00,21
2019-11-23 00:45:00,16
2019-11-23 00:46:00,22
2019-11-23 00:47:00,15
2019-11-23 00:48:00,16
2019-11-23 00:49:00,14
2019-11-23 00:50:00,9
2019-11-23 00:51:00,16
2019-11-23 00:52:00,16
2019-11-23 00:53:00,13
2019-11-23 00:54:00,16
2019-11-23 00:55:00,16
2019-11-23 00:56:00,12
2019-11-23 00:57:00,12
2019-11-23 00:58:00,15
2019-11-23 00:59:00,13
2019-11-23 01:00:00,16
2019-11-23 01:01:00,17
2019-11-23 01:02:00,14
2019-11-23 01:03:00,15
2019-11-23 01:04:00,25
2019-11-23 01:05:00,10
2019-11-23 01:06:00,22
2019-11-23 01:07:00,14
2019-11-23 01:08:00,12
2019-11-23 01:09:00,17
2019-11-23 01:10:00,15
2019-11-23 01:11:00,23
2019-11-23 01:12:00,27
2019-11-23 01:13:00,11
2019-11-23 01:14:00,19
2019-11-23 01:15:00,39
2019-11-23 01:16:00,43
2019-11-23 01:17:00,41
2019-11-23 01:18:00,47
2019-11-23 01:19:00,60
2019-11-23 01:20:00,21
2019-11-23 01:21:00,25
2019-11-23 01:22:00,25
2019-11-23 01:23:00,19
2019-11-23 01:24:00,22
2019-11-23 01:25:00,17
2019-11-23 01:26:00,20
2019-11-23 01:27:00,22
2019-11-23 01:28:00,13
2019-11-23 01:29:00,13
2019-11-23 01:30:00,8
2019-11-23 01:31:00,12
2019-11-23 01:32:00,12
