3242,select petroRad_r from galaxy where objID=#
2019-11-23 06:16:00,50
2019-11-23 06:17:00,193
2019-11-23 06:18:00,195
2019-11-23 06:19:00,194
2019-11-23 06:20:00,192
2019-11-23 06:21:00,195
2019-11-23 06:22:00,187
2019-11-23 06:41:00,151
2019-11-23 06:42:00,163
2019-11-23 06:43:00,163
2019-11-23 06:44:00,162
2019-11-23 06:45:00,159
2019-11-23 06:46:00,157
2019-11-23 06:47:00,156
2019-11-23 06:48:00,142
2019-11-23 06:49:00,149
2019-11-23 06:50:00,151
2019-11-23 06:51:00,154
2019-11-23 06:52:00,156
2019-11-23 06:53:00,154
2019-11-23 06:54:00,19
