3,"select ra,dec,cx,cy,cz,z,sourceType from specObj where ra BETWEEN # and # AND dec BETWEEN # and # AND sourceType = &&&"
2019-11-23 13:00:00,1
2019-11-23 13:01:00,1
2019-11-23 13:13:00,1
