350,"SELECT g.source_id, g.ra, g.dec     FROM GaiaDR2.gaia_source as g     WHERE         g.ra > # AND         g.ra < # AND         g.dec > # AND         g.dec < #     ORDER BY g.ra"
2019-11-23 07:27:00,29
2019-11-23 07:32:00,28
2019-11-23 07:33:00,1
2019-11-23 07:35:00,18
2019-11-23 07:36:00,11
2019-11-23 07:45:00,2
2019-11-23 07:46:00,22
2019-11-23 07:47:00,7
2019-11-23 07:52:00,13
2019-11-23 07:53:00,16
2019-11-23 08:06:00,29
2019-11-23 08:10:00,2
2019-11-23 08:11:00,27
2019-11-23 08:18:00,5
2019-11-23 08:19:00,24
2019-11-23 11:34:00,16
2019-11-23 11:35:00,13
2019-11-23 11:40:00,29
2019-11-23 13:41:00,29
2019-11-23 13:48:00,29
