3,"SELECT p.specobjid, p.ra, p.dec, p.p_el, p.p_cw, p.p_acw, p.p_mg, s.z FROM zooSpec p  JOIN specObj s ON s.bestObjID = p.specobjid WHERE p.ra between # and #   and s.z between # and #   and s.class= &&&"
2019-11-23 12:48:00,2
2019-11-23 12:49:00,1
