1025,"SELECT TOP # p.objid, p.psfMag_u AS u, p.psfMagErr_u as u_err, p.psfMag_g AS g, p.psfMagErr_g as g_err, s.elodieTEff,  s.elodieLogG, s.elodieFeH, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err, p.b AS b, p.l as l FROM photoObj p JOIN segue1SpecObjAll s ON s.bestObjID = p.objid WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > # AND p.b BETWEEN # AND #"
2019-11-23 15:46:00,19
2019-11-23 16:10:00,10
2019-11-23 16:11:00,28
2019-11-23 16:12:00,5
2019-11-23 16:13:00,7
2019-11-23 16:14:00,7
2019-11-23 16:17:00,5
2019-11-23 16:18:00,7
2019-11-23 16:19:00,7
2019-11-23 16:20:00,1
2019-11-23 16:21:00,7
2019-11-23 16:22:00,7
2019-11-23 16:23:00,7
2019-11-23 16:24:00,8
2019-11-23 16:25:00,7
2019-11-23 16:26:00,7
2019-11-23 16:30:00,8
2019-11-23 16:31:00,9
2019-11-23 16:32:00,9
2019-11-23 16:33:00,7
2019-11-23 16:34:00,9
2019-11-23 16:35:00,7
2019-11-23 16:36:00,8
2019-11-23 16:41:00,6
2019-11-23 16:42:00,7
2019-11-23 16:43:00,7
2019-11-23 16:44:00,8
2019-11-23 16:45:00,7
2019-11-23 16:46:00,7
2019-11-23 16:47:00,7
2019-11-23 16:48:00,7
2019-11-23 16:49:00,8
2019-11-23 16:50:00,7
2019-11-23 16:51:00,7
2019-11-23 16:52:00,7
2019-11-23 16:53:00,7
2019-11-23 16:54:00,8
2019-11-23 16:55:00,7
2019-11-23 16:56:00,7
2019-11-23 16:57:00,7
2019-11-23 16:58:00,7
2019-11-23 16:59:00,8
2019-11-23 17:00:00,7
2019-11-23 17:01:00,7
2019-11-23 17:02:00,7
2019-11-23 17:03:00,8
2019-11-23 17:04:00,7
2019-11-23 17:05:00,7
2019-11-23 17:06:00,7
2019-11-23 17:07:00,6
2019-11-23 17:08:00,7
2019-11-23 17:09:00,8
2019-11-23 17:10:00,7
2019-11-23 17:11:00,7
2019-11-23 17:12:00,7
2019-11-23 17:13:00,7
2019-11-23 17:14:00,7
2019-11-23 17:15:00,7
2019-11-23 17:16:00,7
2019-11-23 17:17:00,7
2019-11-23 17:18:00,7
2019-11-23 17:19:00,8
2019-11-23 17:20:00,7
2019-11-23 17:21:00,7
2019-11-23 17:22:00,7
2019-11-23 17:23:00,5
2019-11-23 17:29:00,30
2019-11-23 17:30:00,7
2019-11-23 17:31:00,7
2019-11-23 17:32:00,7
2019-11-23 17:33:00,8
2019-11-23 17:34:00,7
2019-11-23 17:35:00,7
2019-11-23 17:36:00,10
2019-11-23 17:37:00,9
2019-11-23 17:38:00,7
2019-11-23 17:39:00,9
2019-11-23 17:40:00,7
2019-11-23 17:41:00,8
2019-11-23 17:42:00,7
2019-11-23 17:43:00,8
2019-11-23 17:44:00,7
2019-11-23 17:45:00,7
2019-11-23 17:46:00,7
2019-11-23 17:47:00,7
2019-11-23 17:48:00,7
2019-11-23 17:49:00,8
2019-11-23 17:50:00,7
2019-11-23 17:51:00,7
2019-11-23 17:52:00,7
2019-11-23 17:53:00,7
2019-11-23 17:54:00,7
2019-11-23 17:55:00,7
2019-11-23 17:56:00,7
2019-11-23 17:57:00,8
2019-11-23 17:58:00,7
2019-11-23 17:59:00,7
2019-11-23 18:00:00,7
2019-11-23 18:01:00,7
2019-11-23 18:02:00,7
2019-11-23 18:03:00,7
2019-11-23 18:04:00,8
2019-11-23 18:05:00,7
2019-11-23 18:06:00,7
2019-11-23 18:07:00,7
2019-11-23 18:08:00,7
2019-11-23 18:09:00,8
2019-11-23 18:10:00,7
2019-11-23 18:11:00,7
2019-11-23 18:12:00,7
2019-11-23 18:13:00,7
2019-11-23 18:14:00,7
2019-11-23 18:15:00,7
2019-11-23 18:16:00,7
2019-11-23 18:17:00,7
2019-11-23 18:18:00,7
2019-11-23 18:19:00,7
2019-11-23 18:20:00,7
2019-11-23 18:21:00,8
2019-11-23 18:22:00,7
2019-11-23 18:23:00,7
2019-11-23 18:24:00,7
2019-11-23 18:25:00,7
2019-11-23 18:26:00,7
2019-11-23 18:27:00,7
2019-11-23 18:28:00,8
2019-11-23 18:29:00,7
2019-11-23 18:30:00,7
2019-11-23 18:31:00,7
2019-11-23 18:32:00,8
2019-11-23 18:33:00,7
2019-11-23 18:34:00,7
2019-11-23 18:35:00,7
2019-11-23 18:36:00,7
2019-11-23 18:37:00,8
2019-11-23 18:38:00,1
