666,"SELECT ALL  p.ra,p.dec,p.u,p.g,p.r,p.i,p.z, p.objID,   p.expAB_u, p.expAB_g, p.expAB_r, p.expAB_i,   p.expAB_z  FROM PhotoObj AS p  WHERE  p.objID = #"
2019-11-23 01:54:00,4
2019-11-23 01:55:00,6
2019-11-23 02:32:00,1
2019-11-23 02:33:00,19
2019-11-23 02:34:00,20
2019-11-23 02:35:00,19
2019-11-23 02:36:00,20
2019-11-23 02:37:00,20
2019-11-23 02:38:00,20
2019-11-23 02:39:00,21
2019-11-23 02:40:00,18
2019-11-23 02:41:00,19
2019-11-23 02:42:00,19
2019-11-23 02:43:00,20
2019-11-23 02:44:00,17
2019-11-23 02:45:00,19
2019-11-23 02:46:00,17
2019-11-23 02:47:00,19
2019-11-23 02:48:00,20
2019-11-23 02:49:00,20
2019-11-23 02:50:00,20
2019-11-23 02:51:00,19
2019-11-23 02:52:00,20
2019-11-23 02:53:00,20
2019-11-23 02:54:00,20
2019-11-23 02:55:00,20
2019-11-23 02:56:00,20
2019-11-23 02:57:00,20
2019-11-23 02:58:00,21
2019-11-23 02:59:00,20
2019-11-23 03:00:00,19
2019-11-23 03:01:00,19
2019-11-23 03:02:00,21
2019-11-23 03:03:00,20
2019-11-23 03:04:00,19
2019-11-23 03:05:00,20
2019-11-23 03:06:00,10
