938,select * from sqllogall2#_#_#h_to_#_#h where mm = # and dd = # and hh = #
2019-10-27 11:50:00,2
2019-10-27 11:51:00,38
2019-10-27 11:52:00,38
2019-10-27 11:53:00,35
2019-10-27 11:54:00,32
2019-10-27 11:55:00,29
2019-10-27 11:56:00,20
2019-10-27 11:57:00,28
2019-10-27 11:58:00,29
2019-10-27 11:59:00,31
2019-10-27 12:00:00,26
2019-10-27 12:01:00,28
2019-10-27 12:02:00,28
2019-10-27 12:03:00,20
2019-10-27 15:19:00,5
2019-10-27 15:20:00,37
2019-10-27 15:21:00,30
2019-10-27 15:22:00,24
2019-10-27 15:23:00,31
2019-10-27 15:24:00,34
2019-10-27 15:25:00,31
2019-10-27 15:26:00,30
2019-10-27 15:27:00,28
2019-10-27 15:28:00,21
2019-10-27 15:29:00,23
2019-10-27 15:30:00,23
2019-10-27 15:31:00,26
2019-10-27 15:32:00,17
2019-10-27 16:38:00,1
2019-10-27 16:39:00,39
2019-10-27 16:40:00,38
2019-10-27 16:41:00,37
2019-10-27 16:42:00,35
2019-10-27 16:43:00,26
2019-10-27 16:44:00,18
