22,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-09-13 07:43:00,1
2019-09-13 10:14:00,1
2019-09-13 10:43:00,1
2019-09-13 13:37:00,2
2019-09-13 18:51:00,1
2019-09-13 19:18:00,1
2019-09-13 19:25:00,1
2019-09-13 19:26:00,2
2019-09-13 19:28:00,2
2019-09-13 19:29:00,1
2019-09-13 19:30:00,1
2019-09-13 20:26:00,1
2019-09-13 20:29:00,1
2019-09-13 20:43:00,1
2019-09-13 21:04:00,1
2019-09-13 21:10:00,1
2019-09-13 21:43:00,1
2019-09-13 21:44:00,1
2019-09-13 23:37:00,1
