28,"SELECT  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.FiberFlux_u,p.FiberFlux_g,p.FiberFlux_r,p.FiberFlux_i,p.FiberFlux_z,p.psfFlux_u,p.psfFlux_g,p.psfFlux_r,p.psfFlux_i,p.psfFlux_z,p.psfFluxIvar_u,p.psfFluxIvar_g,p.psfFluxIvar_r,p.psfFluxIvar_i,p.psfFluxIvar_z,p.petroFlux_u,p.petroFlux_g,p.petroFlux_r,p.petroFlux_i,p.petroFlux_z,p.cmodelFlux_u,p.cmodelFlux_g,p.cmodelFlux_r,p.cmodelFlux_i,p.cmodelFlux_z,p.PetroRad_u,p.PetroRad_g,p.PetroRad_r,p.PetroRad_i,p.PetroRad_z,p.field,p.fracDeV_u,p.fracDeV_g,p.fracDeV_r,p.fracDeV_i,p.fracDeV_z,p.deVRad_u,p.deVRad_g,p.deVRad_r,p.deVRad_i,p.deVRad_z,p.modelFlux_u,p.modelFlux_g,p.modelFlux_r,p.modelFlux_i,p.modelFlux_z,f.major,f.minor,s.specobjid,s.class,s.z as redshift from PhotoObj p  JOIN SpecObj s ON s.bestobjid = p.objid  JOIN First f ON f.objid = p.objid WHERE   s.class=&&&"
2019-09-13 08:55:00,1
2019-09-13 09:01:00,1
2019-09-13 09:07:00,1
2019-09-13 09:17:00,1
2019-09-13 09:19:00,1
2019-09-13 09:25:00,1
2019-09-13 10:10:00,1
2019-09-13 10:18:00,1
2019-09-13 10:34:00,1
2019-09-13 10:45:00,1
2019-09-13 10:54:00,1
2019-09-13 11:53:00,1
2019-09-13 11:56:00,1
2019-09-13 20:19:00,1
2019-09-13 20:25:00,1
2019-09-13 20:27:00,1
2019-09-13 20:33:00,1
2019-09-13 20:34:00,1
2019-09-13 20:36:00,1
2019-09-13 20:38:00,1
2019-09-13 20:44:00,1
2019-09-13 20:45:00,1
2019-09-13 20:57:00,1
2019-09-13 21:04:00,1
2019-09-13 21:10:00,1
2019-09-13 21:15:00,1
2019-09-13 21:26:00,1
2019-09-13 21:36:00,1
